Account Name,Website,Country/Region,City,LinkedIn URL,Lead Source,Lead Rating,Status,Topic,Description,Industry,Segment,Owner,Next Step,Notes
MATRA ELECTRONIQUE,https://www.matra-electronique.fr/,France,LACROIX ST OUEN,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MATUZA TACTICAL,http://matuza-tactical.lt/,Lituanie,Kilučiai,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,Matuza Tactical is a veteran-founded family-owned company specializing in the design and manufacture of tactical gear. The company produces high-quality equi...,Other,,,No immediate action,
MAURIN FIXATION,https://fixation.emile-maurin.fr/fr/,France,LYON CEDEX 09,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MAXON nternational ltd.,http://www.maxonmotor.com/,Suisse,SACHSELN,,Eurosatory 2026 Catalog,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Our communications specialists will be happy to provide information on editorial topics and stories from the world of maxon. From individual prototypes to large-scale production.\u003c/p\u003e"",""plaintext"":""DC and BLDC motors, gearheads, se…",UAV / drones,Radar / sensors; Logistics / MRO,,Contact sales team and qualify need,
MBDA,http://www.mbda-systems.com/,France,LE PLESSIS ROBINSON CEDEX.,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MC2 TECHNOLOGIES,http://www.mc2-technologies.com/,France,VILLENEUVE D'ASCQ,https://www.linkedin.com/company/mc2technologies,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Founded in a research laboratory specializing in nano- and microelectronics, MC2 Technologies has become a key player in the security and defense sectors. ...",Intelligence / ISR,Land defense; Air defense,,Contact sales team and qualify need,
McQ Inc.,https://www.mcqinc.com/,États-Unis,22405,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MCSA,http://www.mcsa.fr/,France,MEREAU,https://www.linkedin.com/company/mcsa-celerc,Eurosatory 2026 Catalog,C,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Créé en 2005 à la suite de différentes acquisitions et créations, MCSA se développe avec une vision à long terme favorisant les investissements technologiques et humains. MCSA SET possède aussi les certifications PART 21G et PART 145. Merci…",Radar / sensors,Simulation / training; Logistics / MRO,,Keep in watchlist,
MDH DEFENCE,http://www.mdhdefence.com/,Royaume-Uni,AMESBURY,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
ME Mobil Elektronik GmbH,https://www.mobil-elektronik.com/,Allemagne,LANGENBRETTACH,https://www.linkedin.com/company/7354942,Eurosatory 2026 Catalog,B,New,"Threat intel, hardware appliances, cloud souverain, audits.","Folgende Kenntnisse werden vorausgesetzt: • Sehr gute Kenntnisse der Kfz-Elektrik und Hydraulikinstallation (ausgebildetes Fachpersonal) Dieses Dokument beschreibt die Installation der Systemkomponenten der ME MOBIL ELEKTRONIK GMBH, deren e…",Cybersecurity,Armored vehicles; Radar / sensors,,Review website and validate opportunity,
Mecalectro,http://www.mecalectro.com/,France,MASSY,https://www.linkedin.com/company/mecalectro-massy/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MÉCANICAS DE PRESICIÓN TEJEDOR (MTP),https://www.mptejedor.com/,Espagne,PINTO,,Eurosatory 2026 Catalog,D,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Robotics / UGV.",Inicio Empresa Medios de producción Calidad Clientes Contacto Inicio Empresa Medios de producción Calidad Clientes Contacto Empresa fundada en 1948. Con más de 30 años de especialización en el sector de Defensa. Empresa Empresa El mercado d…,Other,,,No immediate action,
MECANIUM,https://www.mecanium.fr/,France,Villeurbanne,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Mecanus Innovación,https://www.linkedin.com/company/mecanus-innovacion,Espagne,ZARAGOZA,https://www.linkedin.com/company/mecanus-innovacion,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Mecapole,https://www.mecapole.fr/,France,SAINT CLAUDE,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Mecc Alte International S.A.,https://www.meccalte.com/,Italie,CREAZZO,https://www.linkedin.com/company/meccalte/,Eurosatory 2026 Catalog,A,New,"Pièces de rechange, calibration, certification pour acteurs MRO.","Learn more Our Brands Our brand is what our customers think of us, and how we view ourselves. As a business, we offer our clients a combination of world-class expertise and products. Learn more NEWS 2024 Sustainability Report now available …",Logistics / MRO,Land defense; Naval defense,,Contact sales team and qualify need,
MECCATRONICA,http://www.automazionispeciali.it/,Italie,PREGANZIOL,,Eurosatory 2026 Catalog,C,New,"Threat intel, hardware appliances, cloud souverain, audits.","E-FORM: THE INNOVATIVE ELECTRIC PRESS FOR COMPOSITE MATERIALS Innovation, constant investment in training, team working are the principles that guide Meccatr...",Cybersecurity,,,Keep in watchlist,
MECH COMPONENTS PRIVATE LIMITED,http://www.patodiagroup.net/,Inde,HYDERABAD,,Eurosatory 2026 Catalog,C,New,Vend des sous-systèmes / composants à un OEM construisant Ammunition.,"Manufactures precision fuzes, fuze components, shells with driving bands, cartridge cases, primers, actuating devices, warhead components and Safe & Arm Devi...",Ammunition,,,Keep in watchlist,
MEDIA INDIA,,France,PARIS,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Mehler Protection,https://mehler-systems.com/,Allemagne,FULDA,https://www.linkedin.com/company/mehler-vario-system-gmbh/mycompany/,Eurosatory 2026 Catalog,A,New,"Vend des sous-systèmes / composants à un OEM construisant Ballistic protection, Vehicles.","LIFESAVING PRECISION MADE IN GERMANY High-quality ballistic-protection products from Mehler Protection are proudly 100% designed, engineered, and manufactured at the company’s fully integrated facility located in Fulda and Königslutter. The…",Soldier systems,Naval defense; Homeland security,,Contact sales team and qualify need,
MEN,http://www.men-defencetec.com/,Allemagne,NASSAU / LAHN,,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Weapons, Ammunition.","For nearly 70 years, MEN has stood for first-class quality and reliable function. An internationally successful company with excellent reputation in the sect...",Weapons,Homeland security; Ammunition,,Review website and validate opportunity,
MENATEK DEFENSE TECHNOLOGIES,http://www.menatek.com.tr/,Turquie,ÜMRANIYE / ISTANBUL,https://linkedin.com/company/menatek-defense-technologies,Eurosatory 2026 Catalog,A,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Menatek Defense Technologies is the leading high-tech manufacturer and the largest supply chain leader of Türkiye and the MENA Region on heavy to light milit...,Radar / sensors,Land defense; Naval defense,,Contact sales team and qualify need,
Mencl Advanced Systems s.r.o.,http://www.masystems.eu/,République tchèque,Ohrazenice,,Eurosatory 2026 Catalog,C,New,"Usinage de précision, matériaux, optronique, composants munitions ITAR-friendly.","Mencl Advanced Systems is a premier provider specializing in the comprehensive development, production, and global supply of inert ammunition. We pride ourse...",Weapons,Ammunition,,Keep in watchlist,
mentec GmbH,http://www.mentec.de/,Allemagne,Surberg,https://www.linkedin.com/company/mentec-gmbh,Eurosatory 2026 Catalog,C,New,"Verre spécial, détecteurs, mécanique de précision pour optronique.",Customized plastic enclosures from mentec® will convince your customers! For 25 years we produce individual housings without tooling costs - even in small qu...,Optics / optronics,,,Keep in watchlist,
"MEOPTA SYSTEMS, S.R.O.",http://www.meopta.com/,République tchèque,PREROV,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MERCEDES-BENZ AG,https://www.group.mercedes-benz.com/,Allemagne,Stuttgart,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"Access Denied You don't have permission to access ""http://www.group.mercedes-benz.com/"" on this server. Reference #18.92c44d17.1777367624.c6228ef https://errors.edgesuite.net/18.92c44d17.1777367624.c6228ef",Other,,,No immediate action,
MERIN,http://www.merin.it/,Italie,CAPENA (RM),,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MERIO,http://www.merio.fr/,France,SAINT-PAUL-TROIS-CHATEAU,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MERSEN Advanced Materials,http://www.mersen.com/,France,GENNEVILLIERS,https://www.linkedin.com/showcase/mersen-graphite-specialties/?viewAsMember=true,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"MERSEN, recognized globally for its expertise in advanced materials, offers an extensive portfolio of materials specifically engineered for the aerospace and...",Other,,,No immediate action,
MERTSAV DEFENCE,https://www.mertsav.com.tr/,Turquie,PENDİK,https://www.linkedin.com/company/mertsav-savunma-sistemleri/?viewAsMember=true,Eurosatory 2026 Catalog,C,New,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,"Linkedin X-twitter Instagram Youtube Facebook Ürünlerimiz GÜÇLÜ Tasarım 5.56x45mm Piyade Tüfekleri PİYADE Tüfekleri En yeni model ailemiz MAR556 piyade tüfeği uzun yılların verdiği tecrübe ile NATO standartlarında üretilmektedir. MAR556, op…",C4ISR,,,Keep in watchlist,
"MESIT asd, s.r.o.",http://www.mesit.cz/,République tchèque,UHERSKE HRADISTE,https://www.linkedin.com/company/skupinamesit,Eurosatory 2026 Catalog,A,New,"RF, crypto, certification interopérabilité pour radios tactiques.",MESIT (MEMBER OF OMNIPOL GROUP) has developed and produced highly specialised products and systems. Their quality has been proven in the most demanding secto...,Communications,Land defense; Homeland security,,Contact sales team and qualify need,
METAL INDUSTRIES France,http://www.metal-industries.fr/,France,MAUREPAS,https://www.linkedin.com/company/metal-industries-france,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"Metal Industries France is your partner for supplying your needs in long steel products (carbon, alloy, stainless) in the form of bars, blanks, or tubes. Our...",Other,,,No immediate action,
METAL TECHNOLOGY GROUP - Angel Balevski Holding,https://www.mtgbg.com/,Bulgarie,SOFIA,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
METALLIAGES,https://www.metalliages.fr/,France,BUC,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
METEOROLOGICAL INSTRUMENTS,http://www.irdam.ch/,Suisse,YVERDON LES BAINS,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
METRAVIB DEFENCE,http://www.metravib-defence.com/,France,LISSIEU,https://www.linkedin.com/showcase/metravib-defence-protection-of-people-sites-&-vehicles,Eurosatory 2026 Catalog,A,New,"Sous-systèmes, composites, certification pour primes terrestres.","Metravib Defence, a subsidiary of ACOEM Group created in 2019, provides defense and civil security actors with acoustic systems that detect and accurately id...",Land defense,Naval defense; Homeland security,,Contact sales team and qualify need,
METROHM France,https://www.metrohm.com/fr_fr.html,France,VILLEBON-SUR-YVETTE,https://www.linkedin.com/company/metrohm-france/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
METROPACK,http://www.metropack.fr/,France,REIMS,https://www.linkedin.com/company/metropack/,Eurosatory 2026 Catalog,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","METROPACK is the French leader in packaging qualification, particularly for sensitive equipment. Defense systems and critical equipment require robust, secur...",UAV / drones,Naval defense; Radar / sensors,,Review website and validate opportunity,
Meuser Optik,https://www.meuser-optik.com/,Allemagne,VILLMAR - AUMENAU,,Eurosatory 2026 Catalog,C,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Optronics / Optics.","Entdecken Sie, wie wir Ihre Vision mit maßgefertigten Produkten Wirklichkeit werden lassen Meuser Optik – wir machen die Welt sichtbarer Leistungen Maßgeschneiderte optische Lösungen mit höchsten Qualitätsstandards, modernster Technologie v…",Optics / optronics,,,Keep in watchlist,
MEVACO S.A.,https://www.mevaco.gr/,Grèce,ASPROPIRGOS,,Eurosatory 2026 Catalog,C,New,"Matières premières, outils coupants, services qualité pour sous-traitants.","""false"" : ""true""); }); dots.forEach((dot, n) => { dot.setAttribute(""aria-current"", n === index ?",Industrial subcontracting,,,Keep in watchlist,
MFS DEFENSE,http://mfs-ammunition.com/,Hongrie,SIROK,,Eurosatory 2026 Catalog,A,New,"Matériaux énergétiques, mécanique, packaging, certification.","MFS offers production and development of high quality small caliber ammunition for Military and LE customers worldwide, including ammunition for pistol, revo...",Ammunition,Homeland security; Logistics / MRO,,Contact sales team and qualify need,
"MIC, MHTI of Armenia",https://hightech.gov.am/en/,Armenia,YEREVAN,http://www.linkedin.com/shareArticle?mini=true&url=https://hightech.gov.am/en/hetadarj-kap/hetadarj-kapi-tvyalner&title=&summary=,Eurosatory 2026 Catalog,C,New,Vend des sous-systèmes / composants à un OEM construisant Ammunition.,Tax Privileges for Qualified R&D Programs Tax privileges are provided to Armenian tax-payer resident entities in case if their activities are qualified as scientific research and experimental development (R&D). License for the postal commun…,Ammunition,,,Keep in watchlist,
MICHIGAN ECONOMIC DEVELOPMENT CORPORATION,http://michiganbusiness.org/,États-Unis,LANSING,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Michigan Scientific Corporation,https://www.michsci.com/,États-Unis,Milford,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MICRON INSTRUMENTS PVT LTD,https://www.microninst.com/,Inde,CHANDIGARH,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MICROPIERRE SA,,France,BESANCON,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MICROPOL FIBEROPTIC,,Suède,ALED,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Microsoft,http://www.microsoft.com/,États-Unis,REDMOND.,,Eurosatory 2026 Catalog,B,New,"Visuel, motion, haptique, IA pour fabricants de simulateurs.","Acheter maintenant Donnez un nouvel élan à votre productivité Microsoft 365 réunit stockage cloud, sécurité avancée et Microsoft Copilot dans vos applications préférées, le tout dans une seule offre. Acheter maintenant Microsoft 365 Copilot…",Simulation / training,Naval defense,,Review website and validate opportunity,
Micross Components,https://www.micross.com/,États-Unis,MELVILLE,https://www.linkedin.com/company/micross-components/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MIFA,https://mifa.eu/nl/,Pays-Bas,Venlo,,Eurosatory 2026 Catalog,B,New,"Verre spécial, détecteurs, mécanique de précision pour optronique.","Contact Waarom kiezen onze klanten voor Mifa De precisie extrusie van Mifa geeft ontwerpers een enorme vormvrijheid, zonder de beperkingen van standaardnormen. Precisie extrusie Co-engineering Verticale integratie Proto tot series Wat produ…",Optics / optronics,Engineering services; Space / satellite,,Review website and validate opportunity,
MIILUX OY,https://www.miilux.com.tr/en/homepage,Turquie,ISTANBUL,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Miilux Oy,,Finlande,Raahe,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Mikkelin Kehitysyhtiö MIKSEI Oy / Etelä-Savo Goes Global,https://mikseimikkeli.fi/en/hanke/etela-savo-goes-global-2/,Finlande,Mikkeli,,Eurosatory 2026 Catalog,B,New,"Pièces de rechange, calibration, certification pour acteurs MRO.",The export and internationalization of companies plays a central role in the development of regions and their vitality. Export-oriented companies are more likely to hire new people and thereby also generate more tax revenue for the region. …,Logistics / MRO,Industrial subcontracting; Export / distribution,,Review website and validate opportunity,
MIKRO-PULSSI,http://www.mikro-pulssi.fi/,Finlande,TAMPERE,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Milda Technologies,http://milda.tech/,Lettonie,RIGA,,Eurosatory 2026 Catalog,C,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Robotics / UGV.","A cutting-edge, electric-powered unmanned land vehicle, designed for autonomous transportation of cargo and specialized equipment. It serves as a replacement...",Other,,,Keep in watchlist,
MilDef,http://www.mildef.com/,Suède,HELSINGBORG,https://www.linkedin.com/company/mildef-group/,Eurosatory 2026 Catalog,B,New,"Composants, sous-systèmes, software, services pour primes C4ISR.","At MilDef, we understand our customers’ challenges and the demands on every solution. We anticipate needs and act fast. Our flexible, robust systems are buil...",C4ISR,Land defense; Naval defense,,Review website and validate opportunity,
MILDEF INTERNATIONAL TECHNOLOGIES SDN BHD,http://mildef.com.my/,Malaisie,SEREMBAN,,Eurosatory 2026 Catalog,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Mildef International Technologies is a key Malaysian defence firm advancing locally designed armoured vehicles, offering full lifecycle services from R&D to ...",Armored vehicles,Naval defense; Homeland security,,Review website and validate opportunity,
Milestone Aviation Services,,Arabie saoudite,RIYADH,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Military Defense Package / Military Box/ Container,https://www.ammodefensepackaging.com/,Chine,ZHANGJIAGANG CITY,,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Ammunition, Vehicles.","MORE Military Storage Containers We manufacture the highest quality ammunition cans with using up to date techniques and modern materials to meet customer requirements. Denmark,Turkey,Switzerland,United Arab Emirates, and other Milddle East…",Armored vehicles,Homeland security; Weapons,,Review website and validate opportunity,
MILITARY EQUIPMENT DENMARK,http://www.med.dk/,Danemark,REGSTRUP,https://www.linkedin.com/company/2617834/admin/settings/,Eurosatory 2026 Catalog,B,New,"Sous-systèmes, composites, certification pour primes terrestres.","Military Equipment Denmark (MED) is a Nordic-Baltic partner bridging global defense industries with armed forces across land, sea, air, and cyber. We turn ca...",Land defense,Homeland security; Weapons,,Review website and validate opportunity,
Millog Oy,http://millog.fi/en/,Finlande,Tampere,https://fi.linkedin.com/company/millog-oy,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"Millog specializes in providing innovative military and security solutions to defense organizations, government agencies, and private sector companies. Our e...",Other,,,No immediate action,
Milpower Savunma Sistemleri TİC.A.Ş,https://www.milpower.com.tr/,Turquie,ANKARA,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Milrem Robotics,http://www.milremrobotics.com/,Estonie,TALLINN,https://www.linkedin.com/company/milremrobotics/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Milrem Robotics is the world-leading developer of robotics and autonomous systems, as well as a systems integrator. The company’s mission is to enhance comba...",Intelligence / ISR,Land defense; UAV / drones,,Contact sales team and qualify need,
MILTECH HELLAS,https://miltech.gr/,Grèce,KOROPI,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MILTON,http://www.milton-innovation.com/,France,MERIGNAC,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MER,http://www.interieur.gouv.fr/,France,PARIS,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. Sorry, you have been blocked You are unable to access www.interieur.gouv.fr Why have I been block…",Other,,,No immediate action,
Ministère des Armées et des Anciens combattants,http://www.defense.gouv.fr/,France,PARIS CEDEX 15,https://www.linkedin.com/company/ministere-des-armees,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Ministère des armées et des anciens combattants - PEPS,http://www.defense.gouv.fr/,France,PARIS,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MINISTRY OF DEFENCE,https://mod.gov.cy/,Cyprus,NICOSIA,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Ministry of Defence of the Slovak Republic,https://www.mosr.sk/mo-sr-en/,Slovaquie,BRATISLAVA,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Ministry of Defence Republic of Croatia,https://www.morh.hr/,Croatie,Zagreb,,Eurosatory 2026 Catalog,B,New,Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics.,Potpredsjednik Vlade i ministar obrane Ivan Anušić za DNEVNIK.hr Saznaj sve o TVO Osnovne informacije Proces novačenja Prednosti i mogućnosti nakon obuke Odgode i oslobađanje od TVO Priopćenja 25.04.2026. Zapovjedništvo za kibernetički pros…,Optics / optronics,Air defense; Naval defense,,Review website and validate opportunity,
"MINISTRY OF DEFENCE, GOVT. OF INDIA",http://www.drdo.gov.in/,Inde,NEW DHELI,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
"Ministry of Economic Development, Job Creation and Trade, Ontario, Canada",http://www.sourcefromontario.com/en/page/event/137030/ontario-eurosatory-2024,Canada,TORONTO,https://www.linkedin.com/company/ontario-ministry-of-economic-development-job-creation-and-trade/?originalSubdomain=ca,Eurosatory 2026 Catalog,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.","Ontario’s diverse and growing defence industry is home to private-sector companies, researchers, and innovators. The growth in Ontario’s defence sector is focused on technological innovation, workforce skills development and manufacturing e…",Space / satellite,Cybersecurity; UAV / drones,,Contact sales team and qualify need,
Ministry of Economy,https://mingo.gov.hr/,Croatie,Zagreb,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,Preskoči na glavni sadržaj A A Prilagodba pristupačnosti Vijesti O Ministarstvu Dokumenti Pristup informacijama Istaknute teme E-servisi Javni pozivi i natječaji Kontakti Ministar Šušnjar: Odluka HERA-e donosi predvidljiv okvir za ulaganja …,Other,,,No immediate action,
Ministry of Industry and Mineral Resources,,Arabie saoudite,Riyadh,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MINISTRY OF INDUSTRY AND TRADE OF THE CZECH REP.,https://mpo.gov.cz/en/,République tchèque,PRAHA 1,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Ministry of Investment of Saudi Arabia,,Arabie saoudite,Riyadh,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MIPA,http://www.mipa-paints.com/,Allemagne,ESSENBACH,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Miranda Military,https://www.mirandamilitary.pl/,Pologne,TUREK,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MIRION TECHNOLOGIES,http://www.mirion.com/,France,LAMANON,https://www.linkedin.com/company/mirion-technologies-france,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MIRMEX MOTOR,http://www.mirmexmotor.com/,Belgique,WAVRE,https://www.linkedin.com/company/mirmexmotor/,Eurosatory 2026 Catalog,C,New,Activité à qualifier — discovery call avant pitch précis.,Mirmex Motor is an innovative industrial company specializing in high‑performance slotless BLDC micromotors for demanding defense systems. Its patented AI‑a...,Other,,,Keep in watchlist,
Mistral Group,http://www.mistralinc.com/,États-Unis,BETHESDA,,Eurosatory 2026 Catalog,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","With years of manufacturing experience, business development, and close working relationships with end-users, system integrators, and technology developers, ...",Radar / sensors,Naval defense; Homeland security,,Review website and validate opportunity,
Mitekas,http://mitekas.com/,Lituanie,Vilnius,https://www.linkedin.com/company/mitekas-defense/,Eurosatory 2026 Catalog,A,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","MITEKAS is a leading Lithuanian defense technology company (NCAGE 025AR), engineering high-performance hardware and software for modern law enforcement, SOF,...",Electronic warfare,Homeland security; UAV / drones,,Contact sales team and qualify need,
Mittler Report Verlag GmbH,http://www.mittler-report.de/,Allemagne,BONN,https://www.linkedin.com/company/eurodefence,Eurosatory 2026 Catalog,C,New,"Outils SOC/SIEM, brique de sécurité défensive pour vendeur cyber.","Mittler Report Verlag is considered the leading specialist publisher in the areas of security policy, armed forces, defence technology, armament, IT and logi...",Cybersecurity,Air defense; Naval defense,,Keep in watchlist,
MKS Servo,https://www.mks-servo.com/,Taïwan,YILAN CITY,https://www.linkedin.com/company/96599752,Eurosatory 2026 Catalog,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",English English 繁體中文 0 item(s) - $0.00 Your shopping cart is empty!,UAV / drones,Radar / sensors,,Review website and validate opportunity,
MKU LIMITED,https://www.mku.com/,Inde,KANPUR,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
MNC SOLUTION,http://www.mncsolution.com/,Corée du Sud,GYEONGSANGNAM-DO,,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Communications networks.","Since its foundation in 1974, MNC Solution has manufactured high-quality products that meet the requirements of our clients and their trust through continuou...",Naval defense,Air defense; Armored vehicles,,Review website and validate opportunity,
MODIRUM GESPI - Industria E Comercio De Equipamentos,https://modirumgespi.com/,Brésil,SÃO JOSÉ DOS CAMPOS,https://www.linkedin.com/company/modirumgespi/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Modirum | GESPI delivers mission-critical technology for defence, aerospace, and secure sectors worldwide. Serving both government and civilian clients, we d...",Intelligence / ISR,Naval defense; Homeland security,,Contact sales team and qualify need,
MODISPREM,http://www.modisprem.com/,Espagne,Zuera - Zaragoza,https://www.linkedin.com/company/modisprem-s-a/about/,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Engines / propulsion, Vehicles.","Altas prestaciones en espumas plásticas para los sectores de automoción , aéreo , naval y ferroviario En Modisprem estamos convencidos de la importancia que tiene la transformación digital en el desarrollo de las empresas. TECHNICAL EXPERTI…",Armored vehicles,Naval defense; Soldier systems,,Review website and validate opportunity,
"MOHOC, INC.",https://www.mohoc.com/,États-Unis,BAINBRIDGE ISLAND,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
"Molex, LLC.",http://www.molex.com/,États-Unis,LISLE,https://www.linkedin.com/company/molex,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,Aerospace systems demand uncompromising reliability in extreme conditions and in the rapidly evolving technology landscape. Engineers face rising market pres...,Other,,,No immediate action,
