Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
mentec GmbH,Allemagne,Surberg,http://www.mentec.de/,https://www.linkedin.com/company/mentec-gmbh,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=60002b66-0776-4f80-8cae-74c15ba3828e,Hall 5b / E370,OEM,Optics / optronics,,Logistics equipment; Optronics / Optics,Sub-systems / Components; Finished products; Integration services; Engineering / consulting,Engineering / consulting,RF / microwave; Lidar / Laser; Additive manufacturing,,,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Electronic components; Composite materials; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",56.6,C,"Verre spécial, détecteurs, mécanique de précision pour optronique.","Hi — I noticed mentec GmbH builds Logistics equipment, Optronics / Optics for Optics / optronics.","Optronics suppliers buy specialty glass, detectors and precision mechanics. Talk to procurement and engineering.",Keep in watchlist,New,,,Medium
"MEOPTA SYSTEMS, S.R.O.",République tchèque,PREROV,http://www.meopta.com/,,,Hall 5a / K263,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MERCEDES-BENZ AG,Allemagne,Stuttgart,https://www.group.mercedes-benz.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=18e55057-a790-4c44-abf6-33447c1ff398,ExtPe6b / D127,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",16.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed MERCEDES-BENZ AG at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
MERIN,Italie,CAPENA (RM),http://www.merin.it/,,,Hall 6 / B250,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MERIO,France,SAINT-PAUL-TROIS-CHATEAU,http://www.merio.fr/,,,Hall 6 / E290,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MERSEN Advanced Materials,France,GENNEVILLIERS,http://www.mersen.com/,https://www.linkedin.com/showcase/mersen-graphite-specialties/?viewAsMember=true,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=9b22a536-af0e-464c-89fd-8a533533c6c0,Hall 4 / A30,À vérifier,Other,,,,,,Aerospace primes,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",15.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed MERSEN Advanced Materials at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
MERTSAV DEFENCE,Turquie,PENDİK,https://www.mertsav.com.tr/,https://www.linkedin.com/company/mertsav-savunma-sistemleri/?viewAsMember=true,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=0d4c5745-38c3-4235-84fd-b2ac667ca715,Hall 5b / C418,OEM,C4ISR,,Logistics equipment,Sub-systems / Components,,,,NATO,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",51.9,C,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,Hi — MERTSAV DEFENCE ships Logistics equipment to defense customers.,"MERTSAV DEFENCE pitches end-to-end C4ISR; they need sub-systems, software components and compliance services.",Keep in watchlist,New,,,Medium
"MESIT asd, s.r.o.",République tchèque,UHERSKE HRADISTE,http://www.mesit.cz/,https://www.linkedin.com/company/skupinamesit,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=dbeb08b5-6032-468b-b9de-c78a23806fb4,Hall 5a / J240,Sous-traitant industriel,Communications,Land defense; Homeland security; Armored vehicles; Soldier systems; Engineering services; Industrial subcontracting,Soldier equipment; Vehicles; Tactical radios; Mechanical parts; Communications networks,Sub-systems / Components; Certification / testing; Engineering / consulting; Sub-contracting,Certification / testing; Engineering / consulting; Sub-contracting,Simulation,Aerospace primes; Land forces; Air forces; Critical infrastructure; Navy; Defense ministries,Asia; Middle East; Latin America; Asia-Pacific; Europe; Eastern Europe; NATO; Germany,Acheteur potentiel,Composite materials,"Textile / industrial fabrics; Optronics / Optics; Energy / batteries; Engines / propulsion; Mechanical parts; Sensors; Communications networks; Ballistic protection; Electronic components; RF / microwave; Embedded systems; Cybersecurity solutions; Raw materials (steel, aluminium); Industrial subcontracting / machining; RF / microwave components; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance",76.0,A,"RF, crypto, certification interopérabilité pour radios tactiques.","Hi — I noticed MESIT asd, s.r.o.","Tactical comms vendors source RF, encryption modules and certifications. Talk to RF / security architect.",Contact sales team and qualify need,New,,,High
METAL INDUSTRIES France,France,MAUREPAS,http://www.metal-industries.fr/,https://www.linkedin.com/company/metal-industries-france,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=75bd32c5-a355-4ebd-9e3e-2ea55474ee84,Hall 6 / EF256,À vérifier,Other,,,,,,,France,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",18.1,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed METAL INDUSTRIES France at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
METAL TECHNOLOGY GROUP - Angel Balevski Holding,Bulgarie,SOFIA,https://www.mtgbg.com/,,,Hall 5b / A64,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
METALLIAGES,France,BUC,https://www.metalliages.fr/,,,Hall 4 / G230,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
METEOROLOGICAL INSTRUMENTS,Suisse,YVERDON LES BAINS,http://www.irdam.ch/,,,Hall 6 / GH95,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
METRAVIB DEFENCE,France,LISSIEU,http://www.metravib-defence.com/,https://www.linkedin.com/showcase/metravib-defence-protection-of-people-sites-&-vehicles,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=e86898d4-cfb2-4c39-ac17-01ca39577c6f,Hall 5a / E74,OEM,Land defense,Naval defense; Homeland security; Intelligence / ISR; Armored vehicles; Weapons; Ammunition; Soldier systems; Optics / optronics; Radar / sensors,Vehicles; Sensors; Soldier equipment; Optronics / Optics; Energy / batteries; Weapons; Ammunition; Engines / propulsion,Sub-systems / Components; Integration services,,5G / wireless; Robotics / autonomy; GNSS / GPS,Land forces; Special forces; Police / law enforcement; Defense ministries; Border / customs; Critical infrastructure; Civil security / fire,Asia; Asia-Pacific; France; Germany; United Kingdom; United States; Africa; NATO,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Embedded systems; Textile / industrial fabrics; Energy / batteries; Materials (Li-ion, electrolytes); Ammunition components; Energetic materials; Packaging; Materials (high temperature alloys); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100)",77.0,A,"Sous-systèmes, composites, certification pour primes terrestres.","Hi — I noticed METRAVIB DEFENCE builds Vehicles, Sensors (+6) for Land defense.",Land defense primes integrate huge supply chains. Procurement is the buyer.,Contact sales team and qualify need,New,,,High
METROHM France,France,VILLEBON-SUR-YVETTE,https://www.metrohm.com/fr_fr.html,https://www.linkedin.com/company/metrohm-france/,,Hall 5a / GH295,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
METROPACK,France,REIMS,http://www.metropack.fr/,https://www.linkedin.com/company/metropack/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=1e5325db-34a4-4220-9b2a-704d2513f6a6,Hall 5b / C34,OEM,UAV / drones,Naval defense; Radar / sensors; Logistics / MRO,UAV / drones; Soldier equipment; Logistics equipment; Communications networks; Sensors,Sub-systems / Components; Engineering / consulting; Certification / testing; Training,Engineering / consulting; Certification / testing; Training,Simulation,,Europe,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Textile / industrial fabrics; Mechanical parts; Materials; RF / microwave components; Cybersecurity solutions; Electronic components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits",69.5,B,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed METROPACK builds UAV / drones, Soldier equipment (+3) for UAV / drones.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.",Review website and validate opportunity,New,,,High
Meuser Optik,Allemagne,VILLMAR - AUMENAU,https://www.meuser-optik.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=8ef7f573-0b94-413d-a5e6-d11763172832,Hall 6 / GH359,OEM,Optics / optronics,,Software / Platforms; Optronics / Optics,,,,,Germany,Acheteur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Electronic components; Composite materials; Mechanical parts; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",49.7,C,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Optronics / Optics.","Hi — Meuser Optik ships Software / Platforms, Optronics / Optics to defense customers.","Meuser Optik sells optronics, they need detector and electronics suppliers. Lead with quality data.",Keep in watchlist,New,,,Medium
MEVACO S.A.,Grèce,ASPROPIRGOS,https://www.mevaco.gr/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=78e2dce5-72ba-463f-812a-f716a88198ce,Hall 5a / H397,Sous-traitant industriel,Industrial subcontracting,,Software / Platforms; Logistics equipment,Sub-systems / Components; Sub-contracting,Sub-contracting,Lidar / Laser; Composites,,NATO,Fournisseur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Mechanical parts; Materials; Communications networks; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",52.7,C,"Matières premières, outils coupants, services qualité pour sous-traitants.",Hi — I noticed MEVACO S.A.,"Sub-contractors buy raw materials, cutting tools and quality services.",Keep in watchlist,New,,,Medium
MFS DEFENSE,Hongrie,SIROK,http://mfs-ammunition.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=b171d1d2-4cac-4f71-8d3e-9638b4967037,Hall 6 / D177,OEM,Ammunition,Homeland security; Logistics / MRO,Software / Platforms; Ammunition; Logistics equipment; Communications networks; Energy / batteries,Sub-systems / Components; Software licenses; Engineering / consulting; Cloud / data services,Engineering / consulting; Cloud / data services,Cloud; RF / microwave; 5G / wireless; Big data / analytics,Police / law enforcement; Aerospace primes,United States; NATO; Africa; Europe; Germany,Acheteur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Energetic materials; Mechanical parts; Packaging; Materials; Communications networks; RF / microwave components; Embedded systems; Materials (Li-ion, electrolytes); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",80.5,A,"Matériaux énergétiques, mécanique, packaging, certification.","Hi — I noticed MFS DEFENSE builds Software / Platforms, Ammunition (+3) for Ammunition.","Ammunition makers buy energetic materials, mechanical parts, packaging and certification services.",Contact sales team and qualify need,New,,,High
"MIC, MHTI of Armenia",Armenia,YEREVAN,https://hightech.gov.am/en/,http://www.linkedin.com/shareArticle?mini=true&url=https://hightech.gov.am/en/hetadarj-kap/hetadarj-kapi-tvyalner&title=&summary=,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=7c94f322-64a3-4e1f-a5aa-f09bf3ef834f,Hall 5b / A279,OEM,Ammunition,,Ammunition,Sub-systems / Components,,,Defense ministries,,Acheteur potentiel,Energetic materials,"Mechanical parts; Packaging; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",49.4,C,Vend des sous-systèmes / composants à un OEM construisant Ammunition.,"Hi — MIC, MHTI of Armenia ships Ammunition to Defense ministries.","MIC, MHTI of Armenia buys raw materials and machining — long lead times. Procurement is the buyer.",Keep in watchlist,New,,,Medium
MICHIGAN ECONOMIC DEVELOPMENT CORPORATION,États-Unis,LANSING,http://michiganbusiness.org/,,,Hall 5a / D282,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Michigan Scientific Corporation,États-Unis,Milford,https://www.michsci.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=d2ec347b-f5a9-4118-9988-c18f266edcb7,Hall 5a / D282,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",15.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Michigan Scientific Corporation at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
MICRON INSTRUMENTS PVT LTD,Inde,CHANDIGARH,https://www.microninst.com/,,,,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MICROPIERRE SA,France,BESANCON,,,,Hall 6 / EF185,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MICROPOL FIBEROPTIC,Suède,ALED,,,,Hall 6 / J177,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Microsoft,États-Unis,REDMOND.,http://www.microsoft.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=eb9551bc-bb8e-4a39-ae83-f775cf122063,Hall 4 / G286,OEM,Simulation / training,Naval defense,Logistics equipment; Simulators / Training,Training,Training,Cloud,,France,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Software; AI platforms; Hardware (display, motion platforms); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",61.7,B,"Visuel, motion, haptique, IA pour fabricants de simulateurs.","Hi — I noticed Microsoft builds Logistics equipment, Simulators / Training for Simulation / training.",Simulator builders source visual / motion / haptics hardware and AI components. Engineering is the buyer.,Review website and validate opportunity,New,,,High
Micross Components,États-Unis,MELVILLE,https://www.micross.com/,https://www.linkedin.com/company/micross-components/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=208befae-b02b-4f49-bd50-f42d2a2ed2f5,Hall 5a / J390,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",16.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Micross Components at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
MIFA,Pays-Bas,Venlo,https://mifa.eu/nl/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=b1e46437-45e1-4289-8030-55a8c09d192d,Hall 4 / E250,OEM,Optics / optronics,Engineering services; Space / satellite,Electronic components; Mechanical parts; Communications networks; Optronics / Optics,Sub-systems / Components; Finished products; Certification / testing,Certification / testing,,Aerospace primes,,Acheteur potentiel,Industrial subcontracting / machining,"Materials; Raw materials (steel, aluminium); RF / microwave components; Embedded systems; Cybersecurity solutions; Electronic components; Composite materials; Mechanical parts; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",62.4,B,"Verre spécial, détecteurs, mécanique de précision pour optronique.","Hi — I noticed MIFA builds Electronic components, Mechanical parts (+2) for Optics / optronics.","Optronics suppliers buy specialty glass, detectors and precision mechanics. Talk to procurement and engineering.",Review website and validate opportunity,New,,,High
MIILUX OY,Turquie,ISTANBUL,https://www.miilux.com.tr/en/homepage,,,Hall 5a / H320,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Miilux Oy,Finlande,Raahe,,,,Hall 6 / G146,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Mikkelin Kehitysyhtiö MIKSEI Oy / Etelä-Savo Goes Global,Finlande,Mikkeli,https://mikseimikkeli.fi/en/hanke/etela-savo-goes-global-2/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=a107ac36-f8de-422e-bedd-2740f74b2d12,Hall 4 / C78,Sous-traitant industriel,Logistics / MRO,Industrial subcontracting; Export / distribution,Communications networks; Energy / batteries,Finished products; Sub-contracting; Engineering / consulting,Sub-contracting; Engineering / consulting,,,Europe; Africa,Fournisseur potentiel,RF / microwave components,"Embedded systems; Cybersecurity solutions; Materials (Li-ion, electrolytes); Mechanical parts; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",64.6,B,"Pièces de rechange, calibration, certification pour acteurs MRO.","Hi — I noticed Mikkelin Kehitysyhtiö MIKSEI Oy / Etelä-Savo Goes Global builds Communications networks, Energy / batteries for Logistics / MRO.","MRO providers source spare parts, calibration tools and certification services. Procurement is the buyer.",Review website and validate opportunity,New,,,High
MIKRO-PULSSI,Finlande,TAMPERE,http://www.mikro-pulssi.fi/,,,Hall 6 / G146,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Milda Technologies,Lettonie,RIGA,http://milda.tech/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=721b6865-f09b-41f7-8846-03000557525c,Hall 5b / E424,OEM,Other,,Vehicles; Robotics / UGV; Energy / batteries,Sub-systems / Components,,Robotics / autonomy,Critical infrastructure,NATO,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Energy / batteries; Materials (Li-ion, electrolytes); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",50.1,C,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Robotics / UGV.","Hi — Milda Technologies ships Vehicles, Robotics / UGV (+1) to Critical infrastructure.",Qualify the activity before pitching.,Keep in watchlist,New,,,Medium
MilDef,Suède,HELSINGBORG,http://www.mildef.com/,https://www.linkedin.com/company/mildef-group/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=f49f0360-417d-4f7a-ac95-52f2d7bfad5c,Hall 6 / F180,OEM,C4ISR,Land defense; Naval defense; Cybersecurity; Optics / optronics; Radar / sensors; Engineering services,Vehicles; Optronics / Optics; Software / Platforms; Robotics / UGV; Communications networks; Energy / batteries; Sensors,Sub-systems / Components; Integration services; Finished products,,Robotics / autonomy; Cybersecurity; Cryptography; 5G / wireless,Land forces; Aerospace primes; Critical infrastructure,France; Germany; NATO,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Cloud / data services; Cybersecurity solutions; AI platforms; Energy / batteries; RF / microwave components; Embedded systems; Materials (Li-ion, electrolytes); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance",73.5,B,"Composants, sous-systèmes, software, services pour primes C4ISR.","Hi — I noticed MilDef builds Vehicles, Optronics / Optics (+5) for C4ISR.",C4ISR primes integrate hundreds of components — the sourcing surface is huge. Procurement / supply chain is the entry point.,Review website and validate opportunity,New,,,High
MILDEF INTERNATIONAL TECHNOLOGIES SDN BHD,Malaisie,SEREMBAN,http://mildef.com.my/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=2df4a793-2596-4665-8e5c-79e12d66be0d,Hall 4 / E225,OEM,Armored vehicles,Naval defense; Homeland security; Weapons; Ballistic protection; Logistics / MRO,Vehicles; Logistics equipment; Naval systems; Weapons; Ballistic protection; Engines / propulsion,Sub-systems / Components; Integration services; Maintenance / MRO; Certification / testing,Maintenance / MRO; Certification / testing,Composites,Police / law enforcement,NATO,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Materials; Ammunition components; Textile / industrial fabrics; Certification / testing; Materials (high temperature alloys); Embedded systems; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits",74.5,B,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Hi — I noticed MILDEF INTERNATIONAL TECHNOLOGIES SDN BHD builds Vehicles, Logistics equipment (+4) for Armored vehicles.","Armored vehicle OEMs buy engines, composites, ballistic plates, optronics, comms and specialised mechanics in volume.",Review website and validate opportunity,New,,,High
Milestone Aviation Services,Arabie saoudite,RIYADH,,,,Hall 5a / K396,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Military Defense Package / Military Box/ Container,Chine,ZHANGJIAGANG CITY,https://www.ammodefensepackaging.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=6827a439-5bb4-41d4-9169-438bf05fe343,Hall 5a / EF340,OEM,Armored vehicles,Homeland security; Weapons; Ammunition; Logistics / MRO,Ammunition; Vehicles; Logistics equipment; Weapons,Finished products; Certification / testing,Certification / testing,,Police / law enforcement,United States,Acheteur potentiel,Energetic materials,"Mechanical parts; Packaging; Engines / propulsion; Composite materials; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Materials; Ammunition components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",69.5,B,"Vend des sous-systèmes / composants à un OEM construisant Ammunition, Vehicles.","Hi — Military Defense Package / Military Box/ Container ships Ammunition, Vehicles (+2) to Police / law enforcement.",Military Defense Package / Military Box/ Container buys for next-gen platforms — engineering and supply chain are the buyers.,Review website and validate opportunity,New,,,High
MILITARY EQUIPMENT DENMARK,Danemark,REGSTRUP,http://www.med.dk/,https://www.linkedin.com/company/2617834/admin/settings/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=5932d0db-7bc0-441d-abbd-c017084aa39c,Hall 6 / J146,Distributeur,Land defense,Homeland security; Weapons; Logistics / MRO; Export / distribution,Communications networks; Vehicles; Weapons; Software / Platforms,Sub-systems / Components; Integration services; Maintenance / MRO; Engineering / consulting; Distribution / agency,Maintenance / MRO; Engineering / consulting; Distribution / agency,,Land forces; Police / law enforcement; Intelligence agencies,,Acheteur potentiel,RF / microwave components,"Embedded systems; Cybersecurity solutions; Engines / propulsion; Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Ammunition components; Cloud / data services; AI platforms; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits",66.0,B,"Sous-systèmes, composites, certification pour primes terrestres.","Hi — I noticed MILITARY EQUIPMENT DENMARK builds Communications networks, Vehicles (+2) for Land defense.",Land defense primes integrate huge supply chains. Procurement is the buyer.,Review website and validate opportunity,New,,,High
Millog Oy,Finlande,Tampere,http://millog.fi/en/,https://fi.linkedin.com/company/millog-oy,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=253187a2-8d91-48f2-80c1-23c390658d87,Hall 6 / G146,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",17.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Millog Oy at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
Milpower Savunma Sistemleri TİC.A.Ş,Turquie,ANKARA,https://www.milpower.com.tr/,,,Hall 5b / C399,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Milrem Robotics,Estonie,TALLINN,http://www.milremrobotics.com/,https://www.linkedin.com/company/milremrobotics/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=68b96402-9f37-4170-add6-9e07046bbd1c,Hall 6 / J145,Intégrateur,Intelligence / ISR,Land defense; UAV / drones; Counter-UAV; Optics / optronics; Radar / sensors; Logistics / MRO; Engineering services,Vehicles; UAV / drones; Counter-UAV systems; Robotics / UGV; Optronics / Optics; Sensors; Engines / propulsion,Integration services,,Robotics / autonomy; Cryptography,Aerospace primes; Land forces,NATO; Europe; France; Germany,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Radars; RF / microwave; AI platforms; Electronic components; Materials (high temperature alloys); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",76.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Milrem Robotics builds Vehicles, UAV / drones (+5) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map Milrem Robotics's integration partners.",Contact sales team and qualify need,New,,,High
MILTECH HELLAS,Grèce,KOROPI,https://miltech.gr/,,,Hall 5a / H391,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MILTON,France,MERIGNAC,http://www.milton-innovation.com/,,,Hall 5a / B128,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
