Name,Website,BillingCountry,BillingCity,LinkedIn__c,Industry,Type,Lead_Score__c,Lead_Rating__c,Status,Description,Next_Step__c,Buying_Need_Main__c,Lead_Source__c
MARLOW ROPES LTD,http://www.marlowropes.com/,Royaume-Uni,HAILSHAM,https://www.linkedin.com/company/marlow-ropes-ltd/,Naval defense,OEM,75.0,A,New,"Radars, sonars, comms, armement, sustainment pour primes navals.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
MAROM DOLPHIN,http://www.marom-dolphin.com/,Israël,AFULA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Marposs,http://www.marposs.com/,États-Unis,Auburn Hills,https://www.linkedin.com/company/marposs/,Radar / sensors,OEM,76.0,A,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Contact sales team and qualify need,Industrial subcontracting / machining,Eurosatory 2026 Catalog
MARREL SAS,http://www.marrel.com/,France,ANDREZIEUX BOUTHEON CEDEX,https://www.linkedin.com/company/marrel-sas/,Other,OEM,34.8,D,New,Vend des sous-systèmes / composants à un OEM construisant Vehicles.,No immediate action,Engines / propulsion,Eurosatory 2026 Catalog
MARS A.S.,https://eshop.marsjev.cz/,République tchèque,JEVÍČKO,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MARS Armor,http://www.marsarmor.com/,Bulgarie,KOSTINBROD,https://www.linkedin.com/company/mars-armor,Soldier systems,OEM,70.5,B,New,"Textiles, composites, optronique, énergie pour kits soldat.",Review website and validate opportunity,Composite materials,Eurosatory 2026 Catalog
MASA GROUP,http://masasim.com/,France,PARIS,https://www.linkedin.com/company/masa-group/,Intelligence / ISR,Distributeur,74.5,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Review website and validate opportunity,Cloud / data services,Eurosatory 2026 Catalog
MASCHINENFABRIK LIEZEN UND GIESSEREI GMBH,https://www.mfl.at/en/,Autriche,LIEZEN,,Armored vehicles,OEM,61.0,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
Masperotech Srl,http://www.masperotech.it/,Italie,MONZA,https://www.linkedin.com/company/masperotech/?viewAsMember=true,Soldier systems,OEM,71.5,B,New,"Textiles, composites, optronique, énergie pour kits soldat.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
Mastsystem,http://mastsystem.com/,Finlande,HEINÄVAARA,https://www.linkedin.com/company/mastsystem,Electronic warfare,OEM,71.0,B,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
Materialise NV,https://www.materialise.be/,Belgique,LEUVEN,,UAV / drones,OEM,81.0,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
MATERNA VIRTUAL SOLUTION GMBH,http://www.virtual-solution.com/,Allemagne,MÜNCHEN,,Electronic warfare,Éditeur logiciel,70.6,B,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
MATISEC,http://www.matisec.fr/,France,VAULX-MILIEU,https://www.linkedin.com/company/matisec,Land defense,OEM,69.5,B,New,"Sous-systèmes, composites, certification pour primes terrestres.",Review website and validate opportunity,Sensors,Eurosatory 2026 Catalog
MATRA ELECTRONIQUE,https://www.matra-electronique.fr/,France,LACROIX ST OUEN,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MATUZA TACTICAL,http://matuza-tactical.lt/,Lituanie,Kilučiai,,Other,À vérifier,36.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
MAURIN FIXATION,https://fixation.emile-maurin.fr/fr/,France,LYON CEDEX 09,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MAXON nternational ltd.,http://www.maxonmotor.com/,Suisse,SACHSELN,,UAV / drones,OEM,77.5,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
MBDA,http://www.mbda-systems.com/,France,LE PLESSIS ROBINSON CEDEX.,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MC2 TECHNOLOGIES,http://www.mc2-technologies.com/,France,VILLENEUVE D'ASCQ,https://www.linkedin.com/company/mc2technologies,Intelligence / ISR,Distributeur,77.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
McQ Inc.,https://www.mcqinc.com/,États-Unis,22405,,Other,À vérifier,4.0,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MCSA,http://www.mcsa.fr/,France,MEREAU,https://www.linkedin.com/company/mcsa-celerc,Radar / sensors,Sous-traitant industriel,55.0,C,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Keep in watchlist,"Raw materials (steel, aluminium)",Eurosatory 2026 Catalog
MDH DEFENCE,http://www.mdhdefence.com/,Royaume-Uni,AMESBURY,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ME Mobil Elektronik GmbH,https://www.mobil-elektronik.com/,Allemagne,LANGENBRETTACH,https://www.linkedin.com/company/7354942,Cybersecurity,OEM,68.5,B,New,"Threat intel, hardware appliances, cloud souverain, audits.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
Mecalectro,http://www.mecalectro.com/,France,MASSY,https://www.linkedin.com/company/mecalectro-massy/,Air defense,OEM,69.5,B,New,"Radars, missiles, comms, électroniques pour systèmes anti-aériens.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
MÉCANICAS DE PRESICIÓN TEJEDOR (MTP),https://www.mptejedor.com/,Espagne,PINTO,,Other,OEM,39.4,D,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Robotics / UGV.",No immediate action,Cloud / data services,Eurosatory 2026 Catalog
MECANIUM,https://www.mecanium.fr/,France,Villeurbanne,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Mecanus Innovación,https://www.linkedin.com/company/mecanus-innovacion,Espagne,ZARAGOZA,https://www.linkedin.com/company/mecanus-innovacion,Other,À vérifier,5.0,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Mecapole,https://www.mecapole.fr/,France,SAINT CLAUDE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Mecc Alte International S.A.,https://www.meccalte.com/,Italie,CREAZZO,https://www.linkedin.com/company/meccalte/,Logistics / MRO,OEM,78.0,A,New,"Pièces de rechange, calibration, certification pour acteurs MRO.",Contact sales team and qualify need,Mechanical parts,Eurosatory 2026 Catalog
MECCATRONICA,http://www.automazionispeciali.it/,Italie,PREGANZIOL,,Cybersecurity,OEM,52.6,C,New,"Threat intel, hardware appliances, cloud souverain, audits.",Keep in watchlist,Cloud / data services,Eurosatory 2026 Catalog
MECH COMPONENTS PRIVATE LIMITED,http://www.patodiagroup.net/,Inde,HYDERABAD,,Ammunition,OEM,50.4,C,New,Vend des sous-systèmes / composants à un OEM construisant Ammunition.,Keep in watchlist,Energetic materials,Eurosatory 2026 Catalog
MEDIA INDIA,,France,PARIS,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Mehler Protection,https://mehler-systems.com/,Allemagne,FULDA,https://www.linkedin.com/company/mehler-vario-system-gmbh/mycompany/,Soldier systems,OEM,75.5,A,New,"Vend des sous-systèmes / composants à un OEM construisant Ballistic protection, Vehicles.",Contact sales team and qualify need,Composite materials,Eurosatory 2026 Catalog
MEN,http://www.men-defencetec.com/,Allemagne,NASSAU / LAHN,,Weapons,OEM,69.1,B,New,"Vend des sous-systèmes / composants à un OEM construisant Weapons, Ammunition.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
MENATEK DEFENSE TECHNOLOGIES,http://www.menatek.com.tr/,Turquie,ÜMRANIYE / ISTANBUL,https://linkedin.com/company/menatek-defense-technologies,Radar / sensors,OEM,80.0,A,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
Mencl Advanced Systems s.r.o.,http://www.masystems.eu/,République tchèque,Ohrazenice,,Weapons,OEM,55.5,C,New,"Usinage de précision, matériaux, optronique, composants munitions ITAR-friendly.",Keep in watchlist,Engines / propulsion,Eurosatory 2026 Catalog
mentec GmbH,http://www.mentec.de/,Allemagne,Surberg,https://www.linkedin.com/company/mentec-gmbh,Optics / optronics,OEM,56.6,C,New,"Verre spécial, détecteurs, mécanique de précision pour optronique.",Keep in watchlist,Mechanical parts,Eurosatory 2026 Catalog
"MEOPTA SYSTEMS, S.R.O.",http://www.meopta.com/,République tchèque,PREROV,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MERCEDES-BENZ AG,https://www.group.mercedes-benz.com/,Allemagne,Stuttgart,,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
MERIN,http://www.merin.it/,Italie,CAPENA (RM),,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MERIO,http://www.merio.fr/,France,SAINT-PAUL-TROIS-CHATEAU,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MERSEN Advanced Materials,http://www.mersen.com/,France,GENNEVILLIERS,https://www.linkedin.com/showcase/mersen-graphite-specialties/?viewAsMember=true,Other,À vérifier,15.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
MERTSAV DEFENCE,https://www.mertsav.com.tr/,Turquie,PENDİK,https://www.linkedin.com/company/mertsav-savunma-sistemleri/?viewAsMember=true,C4ISR,OEM,51.9,C,New,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,Keep in watchlist,Mechanical parts,Eurosatory 2026 Catalog
"MESIT asd, s.r.o.",http://www.mesit.cz/,République tchèque,UHERSKE HRADISTE,https://www.linkedin.com/company/skupinamesit,Communications,Sous-traitant industriel,76.0,A,New,"RF, crypto, certification interopérabilité pour radios tactiques.",Contact sales team and qualify need,Composite materials,Eurosatory 2026 Catalog
METAL INDUSTRIES France,http://www.metal-industries.fr/,France,MAUREPAS,https://www.linkedin.com/company/metal-industries-france,Other,À vérifier,18.1,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
METAL TECHNOLOGY GROUP - Angel Balevski Holding,https://www.mtgbg.com/,Bulgarie,SOFIA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
METALLIAGES,https://www.metalliages.fr/,France,BUC,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
METEOROLOGICAL INSTRUMENTS,http://www.irdam.ch/,Suisse,YVERDON LES BAINS,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
METRAVIB DEFENCE,http://www.metravib-defence.com/,France,LISSIEU,https://www.linkedin.com/showcase/metravib-defence-protection-of-people-sites-&-vehicles,Land defense,OEM,77.0,A,New,"Sous-systèmes, composites, certification pour primes terrestres.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
METROHM France,https://www.metrohm.com/fr_fr.html,France,VILLEBON-SUR-YVETTE,https://www.linkedin.com/company/metrohm-france/,Radar / sensors,OEM,49.9,C,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Keep in watchlist,Electronic components,Eurosatory 2026 Catalog
METROPACK,http://www.metropack.fr/,France,REIMS,https://www.linkedin.com/company/metropack/,UAV / drones,OEM,69.5,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
Meuser Optik,https://www.meuser-optik.com/,Allemagne,VILLMAR - AUMENAU,,Optics / optronics,OEM,49.7,C,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Optronics / Optics.",Keep in watchlist,Cloud / data services,Eurosatory 2026 Catalog
MEVACO S.A.,https://www.mevaco.gr/,Grèce,ASPROPIRGOS,,Industrial subcontracting,Sous-traitant industriel,52.7,C,New,"Matières premières, outils coupants, services qualité pour sous-traitants.",Keep in watchlist,Cloud / data services,Eurosatory 2026 Catalog
MFS DEFENSE,http://mfs-ammunition.com/,Hongrie,SIROK,,Ammunition,OEM,80.5,A,New,"Matériaux énergétiques, mécanique, packaging, certification.",Contact sales team and qualify need,Cloud / data services,Eurosatory 2026 Catalog
"MIC, MHTI of Armenia",https://hightech.gov.am/en/,Armenia,YEREVAN,http://www.linkedin.com/shareArticle?mini=true&url=https://hightech.gov.am/en/hetadarj-kap/hetadarj-kapi-tvyalner&title=&summary=,Ammunition,OEM,49.4,C,New,Vend des sous-systèmes / composants à un OEM construisant Ammunition.,Keep in watchlist,Energetic materials,Eurosatory 2026 Catalog
MICHIGAN ECONOMIC DEVELOPMENT CORPORATION,http://michiganbusiness.org/,États-Unis,LANSING,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Michigan Scientific Corporation,https://www.michsci.com/,États-Unis,Milford,,Other,À vérifier,15.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
MICRON INSTRUMENTS PVT LTD,https://www.microninst.com/,Inde,CHANDIGARH,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MICROPIERRE SA,,France,BESANCON,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MICROPOL FIBEROPTIC,,Suède,ALED,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Microsoft,http://www.microsoft.com/,États-Unis,REDMOND.,,Simulation / training,OEM,61.7,B,New,"Visuel, motion, haptique, IA pour fabricants de simulateurs.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
Micross Components,https://www.micross.com/,États-Unis,MELVILLE,https://www.linkedin.com/company/micross-components/,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
MIFA,https://mifa.eu/nl/,Pays-Bas,Venlo,,Optics / optronics,OEM,62.4,B,New,"Verre spécial, détecteurs, mécanique de précision pour optronique.",Review website and validate opportunity,Industrial subcontracting / machining,Eurosatory 2026 Catalog
MIILUX OY,https://www.miilux.com.tr/en/homepage,Turquie,ISTANBUL,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Miilux Oy,,Finlande,Raahe,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Mikkelin Kehitysyhtiö MIKSEI Oy / Etelä-Savo Goes Global,https://mikseimikkeli.fi/en/hanke/etela-savo-goes-global-2/,Finlande,Mikkeli,,Logistics / MRO,Sous-traitant industriel,64.6,B,New,"Pièces de rechange, calibration, certification pour acteurs MRO.",Review website and validate opportunity,RF / microwave components,Eurosatory 2026 Catalog
MIKRO-PULSSI,http://www.mikro-pulssi.fi/,Finlande,TAMPERE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Milda Technologies,http://milda.tech/,Lettonie,RIGA,,Other,OEM,50.1,C,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Robotics / UGV.",Keep in watchlist,Engines / propulsion,Eurosatory 2026 Catalog
MilDef,http://www.mildef.com/,Suède,HELSINGBORG,https://www.linkedin.com/company/mildef-group/,C4ISR,OEM,73.5,B,New,"Composants, sous-systèmes, software, services pour primes C4ISR.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
MILDEF INTERNATIONAL TECHNOLOGIES SDN BHD,http://mildef.com.my/,Malaisie,SEREMBAN,,Armored vehicles,OEM,74.5,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
Milestone Aviation Services,,Arabie saoudite,RIYADH,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Military Defense Package / Military Box/ Container,https://www.ammodefensepackaging.com/,Chine,ZHANGJIAGANG CITY,,Armored vehicles,OEM,69.5,B,New,"Vend des sous-systèmes / composants à un OEM construisant Ammunition, Vehicles.",Review website and validate opportunity,Energetic materials,Eurosatory 2026 Catalog
MILITARY EQUIPMENT DENMARK,http://www.med.dk/,Danemark,REGSTRUP,https://www.linkedin.com/company/2617834/admin/settings/,Land defense,Distributeur,66.0,B,New,"Sous-systèmes, composites, certification pour primes terrestres.",Review website and validate opportunity,RF / microwave components,Eurosatory 2026 Catalog
Millog Oy,http://millog.fi/en/,Finlande,Tampere,https://fi.linkedin.com/company/millog-oy,Other,À vérifier,17.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Milpower Savunma Sistemleri TİC.A.Ş,https://www.milpower.com.tr/,Turquie,ANKARA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Milrem Robotics,http://www.milremrobotics.com/,Estonie,TALLINN,https://www.linkedin.com/company/milremrobotics/,Intelligence / ISR,Intégrateur,76.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
MILTECH HELLAS,https://miltech.gr/,Grèce,KOROPI,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MILTON,http://www.milton-innovation.com/,France,MERIGNAC,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MER,http://www.interieur.gouv.fr/,France,PARIS,,Other,À vérifier,14.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Ministère des Armées et des Anciens combattants,http://www.defense.gouv.fr/,France,PARIS CEDEX 15,https://www.linkedin.com/company/ministere-des-armees,Intelligence / ISR,À vérifier,40.1,C,New,Qualifier l'activité avant tout pitch ciblé.,Keep in watchlist,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Ministère des armées et des anciens combattants - PEPS,http://www.defense.gouv.fr/,France,PARIS,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MINISTRY OF DEFENCE,https://mod.gov.cy/,Cyprus,NICOSIA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Ministry of Defence of the Slovak Republic,https://www.mosr.sk/mo-sr-en/,Slovaquie,BRATISLAVA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Ministry of Defence Republic of Croatia,https://www.morh.hr/,Croatie,Zagreb,,Optics / optronics,OEM,67.4,B,New,Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics.,Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
"MINISTRY OF DEFENCE, GOVT. OF INDIA",http://www.drdo.gov.in/,Inde,NEW DHELI,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
"Ministry of Economic Development, Job Creation and Trade, Ontario, Canada",http://www.sourcefromontario.com/en/page/event/137030/ontario-eurosatory-2024,Canada,TORONTO,https://www.linkedin.com/company/ontario-ministry-of-economic-development-job-creation-and-trade/?originalSubdomain=ca,Space / satellite,OEM,84.0,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
Ministry of Economy,https://mingo.gov.hr/,Croatie,Zagreb,,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Ministry of Industry and Mineral Resources,,Arabie saoudite,Riyadh,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MINISTRY OF INDUSTRY AND TRADE OF THE CZECH REP.,https://mpo.gov.cz/en/,République tchèque,PRAHA 1,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Ministry of Investment of Saudi Arabia,,Arabie saoudite,Riyadh,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MIPA,http://www.mipa-paints.com/,Allemagne,ESSENBACH,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Miranda Military,https://www.mirandamilitary.pl/,Pologne,TUREK,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MIRION TECHNOLOGIES,http://www.mirion.com/,France,LAMANON,https://www.linkedin.com/company/mirion-technologies-france,Dual-use technology,À vérifier,18.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
MIRMEX MOTOR,http://www.mirmexmotor.com/,Belgique,WAVRE,https://www.linkedin.com/company/mirmexmotor/,Other,Sous-traitant industriel,48.5,C,New,Activité à qualifier — discovery call avant pitch précis.,Keep in watchlist,Cloud / data services,Eurosatory 2026 Catalog
Mistral Group,http://www.mistralinc.com/,États-Unis,BETHESDA,,Radar / sensors,OEM,70.0,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
Mitekas,http://mitekas.com/,Lituanie,Vilnius,https://www.linkedin.com/company/mitekas-defense/,Electronic warfare,OEM,75.0,A,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
Mittler Report Verlag GmbH,http://www.mittler-report.de/,Allemagne,BONN,https://www.linkedin.com/company/eurodefence,Cybersecurity,OEM,59.2,C,New,"Outils SOC/SIEM, brique de sécurité défensive pour vendeur cyber.",Keep in watchlist,Mechanical parts,Eurosatory 2026 Catalog
MKS Servo,https://www.mks-servo.com/,Taïwan,YILAN CITY,https://www.linkedin.com/company/96599752,UAV / drones,OEM,63.6,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
MKU LIMITED,https://www.mku.com/,Inde,KANPUR,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MNC SOLUTION,http://www.mncsolution.com/,Corée du Sud,GYEONGSANGNAM-DO,,Naval defense,OEM,65.0,B,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Communications networks.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
MODIRUM GESPI - Industria E Comercio De Equipamentos,https://modirumgespi.com/,Brésil,SÃO JOSÉ DOS CAMPOS,https://www.linkedin.com/company/modirumgespi/,Intelligence / ISR,Distributeur,78.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
MODISPREM,http://www.modisprem.com/,Espagne,Zuera - Zaragoza,https://www.linkedin.com/company/modisprem-s-a/about/,Armored vehicles,OEM,69.0,B,New,"Vend des sous-systèmes / composants à un OEM construisant Engines / propulsion, Vehicles.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
"MOHOC, INC.",https://www.mohoc.com/,États-Unis,BAINBRIDGE ISLAND,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
"Molex, LLC.",http://www.molex.com/,États-Unis,LISLE,https://www.linkedin.com/company/molex,Other,À vérifier,17.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Molfar Intelligence,https://molfar.com/,Ukraine,Kyiv,,Cybersecurity,Société de services,44.4,C,New,"Threat intel, hardware appliances, cloud souverain, audits.",Keep in watchlist,Mechanical parts,Eurosatory 2026 Catalog
MOLPIR S.R.O.,https://www.molpir.com/,Slovaquie,SMOLENICE,,NRBC / CBRN,OEM,56.4,C,New,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, NRBC / CBRN.",Keep in watchlist,Mechanical parts,Eurosatory 2026 Catalog
MOMENTUM TECHNOLOGIES (LIFEPODS),http://www.lifepods.tech/,France,LE BOULOU,https://www.linkedin.com/company/momentum-technologies-lifepods/?viewAsMember=true,Soldier systems,OEM,76.5,A,New,"Textiles, composites, optronique, énergie pour kits soldat.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
MÖNCH PUBLISHING GROUP,https://www.monch.com/,Allemagne,BAD NEUENAHR,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MONKILOWATT,http://www.monkilowatt.fr/,France,TOULOUSE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MONOPULSE,,Lituanie,Vilnius,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MONT BLANC PRODUCTIONS,https://www.montblancproductions.fr/,France,SALLANCHES,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
MONVALIS GMBH,http://www.monvalis.de/,Allemagne,BIELEFELD,,Other,OEM,35.9,D,New,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,No immediate action,Mechanical parts,Eurosatory 2026 Catalog
MOOG INC.,https://www.moog.com/,États-Unis,EAST AURORA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
