Company name,Website URL,Country,City,LinkedIn,Industry,Type,Lead score,Lead rating,Lifecycle stage,Buying need,Notes,Pitch,Next step,Owner
INDO DEFENCE 2027 EXPO & FORUM,https://indodefence.com/,Indonésie,JAKARTA,https://www.linkedin.com/showcase/indo-defence/,Electronic warfare,Distributeur,78.5,A,New,Mechanical parts,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed INDO DEFENCE 2027 EXPO & FORUM builds Logistics equipment, Vehicles (+10) for Electronic warfare.",Contact sales team and qualify need,
Indra Group,http://wwww.indracompany.com/,Espagne,MADRID,https://www.linkedin.com/company/indra/posts/?feedView=all,Other,À vérifier,17.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Indra Group at Eurosatory.,No immediate action,
INDUSTEEL FRANCE,http://industeel.arcelormittal.com/,France,LE CREUSOT CEDEX,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Industria de Material Bélico do Brasil - IMBEL,http://www.imbel.gov.br/,Brésil,BRASILIA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
INDUSTRIAL OLMAR,https://www.olmar.com/,Espagne,"Gijón, Asturias",,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
INEO DEFENSE,https://equans.fr/,France,VELIZY VILLACOUBLAY,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"Inertial Labs, a VIAVI Solutions Company",http://www.intertiallabs.com/,États-Unis,Paeonian Springs,https://www.linkedin.com/company/inertial-labs-inc,Other,À vérifier,20.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Hi — I noticed Inertial Labs, a VIAVI Solutions Company at Eurosatory.",No immediate action,
INFINITY SAFE TECNOLOGIA EM SEGURANÇA,,Brésil,SÃO PAULO - SP,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"Inflatable 2000, Inc.",https://www.i2kdefense.com/,Puerto Rico,SAN JUAN,,UAV / drones,OEM,69.5,B,New,Engines / propulsion,Sub-system / payload pour OEM drones tactiques.,"Hi — Inflatable 2000, Inc.",Review website and validate opportunity,
INFODEFENSA.COM,http://www.infodefensa.com/,Espagne,MADRID,https://www.linkedin.com/company/infodefensa/posts/?feedView=all,UAV / drones,OEM,68.5,B,New,Energy / batteries,Sub-system / payload pour OEM drones tactiques.,"Hi — INFODEFENSA.COM ships UAV / drones, Radars (+4) to Navy, Critical infrastructure (+1).",Review website and validate opportunity,
INFODIP,https://www.infodip.com/,France,SAINT-LEU-LA-FORÊT,https://www.linkedin.com/company/infodip/?viewAsMember=true,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
INGUAR-DEFENCE,http://www.inguardefence.com/,Ukraine,KYIV,https://www.linkedin.com/company/inguar-defence,Armored vehicles,OEM,67.1,B,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Weapons.","Hi — INGUAR-DEFENCE ships Vehicles, Weapons (+1) to Special forces, Police / law enforcement.",Review website and validate opportunity,
INKOP OBUCA LTD.,http://www.inkop.hr/,Croatie,POZNANOVEC,,Other,OEM,38.4,D,New,Mechanical parts,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,Hi — INKOP OBUCA LTD.,No immediate action,
Innovation Agency Lithuania,https://inovacijuagentura.lt/?lang=lt,Lituanie,VILNIUS,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
INOVEOS,https://www.inoveos.com/,France,RIVE-LA-GAILLARDE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
INPIXAL,http://www.inpixal.com/,France,RENNES,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"INSOPACK CO.,Ltd.",http://www.insopack.co.kr/eng/main/main.html,Corée du Sud,"Gumi-si, Gyeonbuk",,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Insta,http://www.insta.fi/en/,Finlande,Tampere,https://www.linkedin.com/showcase/insta-defence-and-aviation/,Cybersecurity,OEM,79.0,A,New,Engines / propulsion,"Threat intel, hardware appliances, cloud souverain, audits.","Hi — I noticed Insta builds Vehicles, UAV / drones (+10) for Cybersecurity.",Contact sales team and qualify need,
Instagrid,http://instagrid.co/,Allemagne,LUDWIGSBURG,https://www.linkedin.com/company/instagrid/,Logistics / MRO,Distributeur,77.9,A,New,"Materials (Li-ion, electrolytes)",Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for United Kingdom (+4).,Contact sales team and qualify need,
INSTALAZA,http://www.instalaza.com/,Espagne,ZARAGOZA,,Radar / sensors,OEM,49.0,C,New,Electronic components,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed INSTALAZA builds Radars, Sensors for Radar / sensors.",Keep in watchlist,
INSTITUT CARNOT MICA,http://www.carnot-mica.fr/,France,MULHOUSE,https://www.linkedin.com/company/carnot-mica/,Simulation / training,À vérifier,34.1,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed INSTITUT CARNOT MICA at Eurosatory.,No immediate action,
INTAP ADVANCED TECHNOLOGY SP. Z O.O. SP.K.,https://www.intap.com.pl/,Pologne,Bukowiec,,Radar / sensors,Sous-traitant industriel,58.1,C,New,Mechanical parts,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Hi — I noticed INTAP ADVANCED TECHNOLOGY SP.,Keep in watchlist,
INTEGRIS COMPOSITES,https://www.integriscomposites.com/,Pays-Bas,AMSTERDAM,https://www.linkedin.com/company/tencate-advanced-armour,Electronic warfare,OEM,82.0,A,New,Engines / propulsion,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed INTEGRIS COMPOSITES builds Vehicles, Ballistic protection (+11) for Electronic warfare.",Contact sales team and qualify need,
Intelic,http://www.intelic.ai/,Pays-Bas,AMSTERDAM,https://nl.linkedin.com/company/intelic-ai,Electronic warfare,Distributeur,73.5,B,New,Engines / propulsion,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed Intelic builds Vehicles, UAV / drones (+8) for Electronic warfare.",Review website and validate opportunity,
INTERFACE CONCEPT,https://www.interfaceconcept.com/,France,QUIMPER,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
INTERNATIONAL ARMORED GROUP,https://www.interarmored.com/,Émirats arabes unis,RAS AL KHAIMAH,https://www.linkedin.com/company/international-armored-group,Armored vehicles,OEM,81.0,A,New,Engines / propulsion,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Hi — I noticed INTERNATIONAL ARMORED GROUP builds Vehicles, Logistics equipment (+2) for Armored vehicles.",Contact sales team and qualify need,
International Parts Supply (IPS),https://www.ipscorpusa.com/,États-Unis,Edina,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
INTRACOM DEFENSE S.A. (IDE),http://www.intracomdefense.com/,Grèce,KOROPI ATTICA,https://www.linkedin.com/company/intracom-defense/,Electronic warfare,Intégrateur,78.0,A,New,Engines / propulsion,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Hi — I noticed INTRACOM DEFENSE S.A.,Contact sales team and qualify need,
INVERNIZZI PRESSE,http://www.invernizzi.com/,Italie,PESCATE,https://www.linkedin.com/company/invernizzi-presse/?originalSubdomain=it,Ammunition,OEM,65.0,B,New,Energetic materials,"Matériaux énergétiques, mécanique, packaging, certification.","Hi — I noticed INVERNIZZI PRESSE builds Ammunition, Energy / batteries (+4) for Ammunition.",Review website and validate opportunity,
INVESTMENT AND DEVELOPMENT AGENCY OF LATVIA,https://www.liaa.gov.lv/en,Lettonie,RIGA,https://www.linkedin.com/company/invest-in-latvia/,Optics / optronics,Distributeur,80.0,A,New,Electronic components,"Verre spécial, détecteurs, mécanique de précision pour optronique.","Hi — I noticed INVESTMENT AND DEVELOPMENT AGENCY OF LATVIA builds Optronics / Optics, Logistics equipment (+5) for Optics / optronics.",Contact sales team and qualify need,
INVISIO,http://www.invisio.com/,France,MONTIGNY-LE-BRETONNEUX,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
IPO TECHNOLOGIE,http://www.ipo-sa.com/,France,DECINES-CHARPIEU,https://www.linkedin.com/company/ipo-technologie/,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
iprotex GmbH & Co.KG,http://www.iprotex.com/,Allemagne,Münchberg,,Logistics / MRO,Distributeur,67.0,B,New,Cloud / data services,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.","Hi — iprotex GmbH & Co.KG ships Software / Platforms, Logistics equipment (+3) to Aerospace primes.",Review website and validate opportunity,
"IQ BRAND, DESIGN & PRODUCTION GMBH",,Autriche,SCHLITTERS,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
IRAUNDI,http://iraundi.com/,Espagne,/ BERGARA (GUIPÚZCOA),https://linkedin.com/company/iraundi/,Soldier systems,OEM,69.1,B,New,Mechanical parts,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed IRAUNDI builds Logistics equipment, Engines / propulsion (+2) for Soldier systems.",Review website and validate opportunity,
"IRMAXTEC Technology Co., Ltd.",http://www.irmaxtec.com/,Chine,HANGZHOU,,Optics / optronics,OEM,46.4,C,New,Electronic components,Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics.,"Hi — IRMAXTEC Technology Co., Ltd.",Keep in watchlist,
IRnova AB,http://www.ir-nova.se/,Suède,KISTA,,Other,À vérifier,4.0,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed IRnova AB at Eurosatory.,No immediate action,
IRON cluster,https://ironcluster.org/eng-home,Ukraine,LVIV,https://www.linkedin.com/company/iron-cluster/,UAV / drones,OEM,71.0,B,New,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed IRON cluster builds UAV / drones, Robotics / UGV (+2) for UAV / drones.",Review website and validate opportunity,
IRTS,https://www.irts.fr/,France,LA GARDE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
IrvinGQ®,http://www.irvingq.com/,Royaume-Uni,BRIDGEND,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ISD,http://www.isd-sa.com/,France,VERSAILLES,,Logistics / MRO,À vérifier,51.6,C,New,Industrial subcontracting / machining,"Pièces de rechange, calibration, certification pour acteurs MRO.",Hi — I noticed ISD builds — for Logistics / MRO.,Keep in watchlist,
I-SEE GROUP,https://www.i-seegroup.com/,France,BARDOS,https://www.linkedin.com/company/i-see-group,Intelligence / ISR,OEM,71.1,B,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed I-SEE GROUP builds UAV / drones, Sensors (+2) for Intelligence / ISR.",Review website and validate opportunity,
ISEF STEEL FORGINGS,http://www.isefsteelforgings.com/,Italie,CARNAGO,https://www.linkedin.com/company/77209901/admin/dashboard/,Logistics / MRO,Distributeur,68.5,B,New,Engines / propulsion,"Pièces de rechange, calibration, certification pour acteurs MRO.","Hi — I noticed ISEF STEEL FORGINGS builds Vehicles, Logistics equipment (+3) for Logistics / MRO.",Review website and validate opportunity,
ISI-ACTEMIUM Clermont Engineering & Robotics,https://www.actemium.fr/implantations/actemium-clermont-engineering-robotics/presentation/,France,COURNON D'AUVERGNE,,Intelligence / ISR,Bureau d'ingénierie,69.0,B,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ISI-ACTEMIUM Clermont Engineering & Robotics builds UAV / drones, Software / Platforms (+5) for Intelligence / ISR.",Review website and validate opportunity,
ISKRA brodogradiliste 1 d.o.o.,https://shipyard.iskra.eu/,Croatie,Sibenik,,Naval defense,OEM,54.4,C,New,"Raw materials (steel, aluminium)","Radars, sonars, comms, armement, sustainment pour primes navals.",Hi — I noticed ISKRA brodogradiliste 1 d.o.o.,Keep in watchlist,
Íslandsstofa,https://www.businessiceland.is/,Iceland,REYKJAVÍK,https://www.linkedin.com/company/business-iceland/,Other,À vérifier,5.0,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Íslandsstofa at Eurosatory.,No immediate action,
ISOCLIMA SPA,http://www.isoclimagroup.com/,Italie,ESTE (PD),https://www.linkedin.com/company/isoclimagroup,Armored vehicles,OEM,82.0,A,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Embedded systems.","Hi — ISOCLIMA SPA ships Vehicles, Embedded systems (+1) to Navy, Aerospace primes (+2).",Contact sales team and qualify need,
ISP SYSTEM,https://www.isp-system.fr/,France,VIC-EN-BIGORRE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
iTAC Software AG,https://www.itacsoftware.com/,Allemagne,Montabaur,,Cybersecurity,OEM,75.5,A,New,Cloud / data services,"Threat intel, hardware appliances, cloud souverain, audits.","Hi — I noticed iTAC Software AG builds Software / Platforms, Communications networks (+2) for Cybersecurity.",Contact sales team and qualify need,
ITALWATT,http://www.italwatt.it/,Italie,SAN MAURO TORINESE (TO),https://www.linkedin.com/company/italwatt,Radar / sensors,Distributeur,71.5,B,New,Engines / propulsion,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed ITALWATT builds Vehicles, Engines / propulsion (+6) for Radar / sensors.",Review website and validate opportunity,
ITOPP,https://itopp-alcen.com/,France,Thegra,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ITS SAFETY,https://www.itssafety.com/,Espagne,"Granda, Asturias",,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ITSec Area Informatikai és Szolgáltató Ltd.,,Hongrie,Szentlorinc,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ITT Cannon,http://www.ittcannon.com/,Allemagne,WEINSTADT,https://www.linkedin.com/company/2887,Weapons,À vérifier,27.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ITT Cannon at Eurosatory.,No immediate action,
IVECO DEFENCE VEHICLES,https://idvgroup.com/,Italie,BOLZANO,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
J. LANFRANCO & Cie,http://www.lanfranco.fr/,France,LA CHAPELLE-SAINT-URSIN,https://www.linkedin.com/company/j-lanfranco-cie/posts/?feedView=all&viewAsMember=true,Logistics / MRO,OEM,57.1,C,New,Mechanical parts,"Pièces de rechange, calibration, certification pour acteurs MRO.","Hi — I noticed J. LANFRANCO & Cie builds Weapons, Mechanical parts for Logistics / MRO.",Keep in watchlist,
JACOBI CARBONS,,France,PARIS,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JACQUARD d.o.o.,http://www.jacquard.hr/,Croatie,Zagreb,,Land defense,Distributeur,61.5,B,New,Cloud / data services,"Sous-systèmes, composites, certification pour primes terrestres.",Hi — I noticed JACQUARD d.o.o.,Review website and validate opportunity,
JACQUES DUBOIS SAS,http://www.jacquesdubois.com/,France,BARENTIN,https://www.linkedin.com/jacques-dubois,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Jaguar Land Rover Francia,https://www.landrover.fr/index.html,France,PUTEAUX,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JAKUSZ SP. Z O.O.,https://www.jakusz.com/,Pologne,KOŚCIERZYNA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Janes,https://www.janes.com/,Royaume-Uni,"CROYDON,",,Other,À vérifier,4.0,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Janes at Eurosatory.,No immediate action,
JEET & JEET GLASS AND CHEMICALS P LTD,http://www.jeetglassindia.com/,Inde,JAIPUR,,Armored vehicles,OEM,72.0,B,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Logistics equipment.","Hi — JEET & JEET GLASS AND CHEMICALS P LTD ships Vehicles, Logistics equipment (+2) to Defense ministries, Land forces (+2).",Review website and validate opportunity,
Jelen Professional d.o.o.,https://www.jelen.com/,Croatie,Belica,,Other,À vérifier,16.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Jelen Professional d.o.o.,No immediate action,
JENOPTIK,http://www.jenoptik.com/,Allemagne,JENA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JI HUA 3502 CAREER APPAREL LTD,,Chine,SHIJIAZHUANG,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"Jiangsu Shuwei New Material Technology Co., Ltd",http://www.shu/,Chine,JINGJIANG,,Other,À vérifier,16.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Hi — I noticed Jiangsu Shuwei New Material Technology Co., Ltd at Eurosatory.",No immediate action,
"JIHUA 3513 SHOES INDUSTRY CO.,LTD",https://jihua3514.en.alibaba.com/index.html?spm=a2700.shop_co.88.12.73dc3a7aRpEI8Q,Chine,SHIJIAZHUANG,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"JINAN HOPE WISH PHOTOELECTRONIC TECHNOLOGY CO.,LTD.",http://www.chinahpws.com/,Chine,JINAN,,Homeland security,OEM,40.8,C,New,Engines / propulsion,Vend des sous-systèmes / composants à un OEM construisant Vehicles.,"Hi — JINAN HOPE WISH PHOTOELECTRONIC TECHNOLOGY CO.,LTD.",Keep in watchlist,
JINGYE TEXTILE TECHNOLOGY LIMITED,https://www.camowebbing.com/,Chine,HONGKONG,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JLT Mobile Computers Sweden AB,,Suède,Växjö,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Jobs Spa,http://www.ffg-ea.com/,Italie,Piacenza,,Other,OEM,35.9,D,New,Cloud / data services,Vend des sous-systèmes / composants à un OEM construisant Software / Platforms.,Hi — Jobs Spa ships Software / Platforms to Aerospace primes.,No immediate action,
JOESCO LTD,http://www.militarybarrier.com/,Chine,SHIJIAZHUANG,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JOHN COCKERILL,http://defense.johncockerill.com/en/,Belgique,ANS,,Armored vehicles,OEM,45.8,C,New,Engines / propulsion,Vend des sous-systèmes / composants à un OEM construisant Vehicles.,Hi — JOHN COCKERILL ships Vehicles to defense customers.,Keep in watchlist,
Jokon,http://www.jokon.de/,Allemagne,BONN,https://www.linkedin.com/company/jokongmbh,Logistics / MRO,OEM,65.5,B,New,Mechanical parts,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Energy / batteries.","Hi — Jokon ships Logistics equipment, Energy / batteries (+1) to defense customers.",Review website and validate opportunity,
JOMIPSA,https://www.jomipsa.com/,Espagne,MUTXAMEL,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JONATHAN GROUP DEFENSE,https://www.jonathanengr.com/,États-Unis,IRVINE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JONE PRECISION & ENGINEERING,http://www.joneprecision.com/,France,HAGUENAU,https://www.linkedin.com/company/jone-precision1/?viewAsMember=true,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JOWO - Systemtechnik AG,http://www.jowo.ag/,Allemagne,DELMENHORST,https://www.linkedin.com/company/12572222/admin/dashboard/,Optics / optronics,OEM,54.1,C,New,Mechanical parts,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Optronics / Optics.","Hi — JOWO - Systemtechnik AG ships Logistics equipment, Optronics / Optics to defense customers.",Keep in watchlist,
JP INDUSTRIAS MECÁNICAS,https://www.jpim.es/,Espagne,"Cangas del Narcea, Asturias",,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JPB SYSTÈME,,France,Montereau-sur-le-jard,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JSC Aurida Engineering Company,https://www.aurida-engineering.com/,Lituanie,PANEVEZYS,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
JUNGHANS DEFENCE,http://www.junghans-defence.com/,Allemagne,DUNNINGEN,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
KADAR POLAND,http://www.kadarpoland.com/,Pologne,WARSZAWA,,Other,À vérifier,24.6,D,New,Industrial subcontracting / machining,Activité à qualifier — discovery call avant pitch précis.,Hi — I noticed KADAR POLAND builds — for Other.,No immediate action,
KADIA PRODUKTION GMBH,http://kadia.com/,Allemagne,NÜRTINGEN,https://www.linkedin.com/company/kadia-honen-entgraten/?viewAsMember=true,Logistics / MRO,OEM,66.5,B,New,Electronic components,"Pièces de rechange, calibration, certification pour acteurs MRO.","Hi — I noticed KADIA PRODUKTION GMBH builds Robotics / UGV, Vehicles (+4) for Logistics / MRO.",Review website and validate opportunity,
KAHLES GESELLSCHAFT MBH,https://www.kahles.at/,Autriche,GUNTRAMSDORF,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
KALEKALIP,http://www.kalekalip.com.tr/,Turquie,ISTANBUL,https://www.linkedin.com/company/kalekalip/,Other,À vérifier,17.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed KALEKALIP at Eurosatory.,No immediate action,
Kaleo,https://www.kaleo.com/,États-Unis,Richmond,,Ammunition,Distributeur,75.0,A,New,Mechanical parts,"Matériaux énergétiques, mécanique, packaging, certification.","Hi — I noticed Kaleo builds Logistics equipment, NRBC / CBRN (+3) for Ammunition.",Contact sales team and qualify need,
KALLER,http://www.kaller.com/en-us/products/gas-hydraulic-suspension/,Suède,Tranås,https://linkedin.com/company/kaller,Naval defense,Distributeur,76.0,A,New,Engines / propulsion,"Radars, sonars, comms, armement, sustainment pour primes navals.","Hi — I noticed KALLER builds Vehicles, Sensors (+8) for Naval defense.",Contact sales team and qualify need,
"Kallman Worldwide, Inc.",https://www.kallman.com/,États-Unis,NEW JERSEY,https://www.linkedin.com/company/kallman-worldwide-inc./,Naval defense,Distributeur,75.0,A,New,Mechanical parts,Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for France (+7).,Contact sales team and qualify need,
Kalyani Strategic Systems Limited (KSSL),http://www.kssl.in/,Inde,PUNE,https://www.linkedin.com/company/kssldefence/,Land defense,OEM,78.0,A,New,Engines / propulsion,"Sous-systèmes, composites, certification pour primes terrestres.","Hi — I noticed Kalyani Strategic Systems Limited (KSSL) builds Vehicles, Weapons (+5) for Land defense.",Contact sales team and qualify need,
KAP-KO D.O.O.,http://www.kap-ko.hr/,Croatie,ZAGREB,,Soldier systems,Distributeur,41.4,C,New,Mechanical parts,Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for your region.,Keep in watchlist,
KAPPA OPTRONICS GMBH,http://www.kappa-optronics.com/,Allemagne,GLEICHEN,,C4ISR,OEM,81.0,A,New,Energy / batteries,"Composants, sous-systèmes, software, services pour primes C4ISR.","Hi — I noticed KAPPA OPTRONICS GMBH builds UAV / drones, Optronics / Optics (+5) for C4ISR.",Contact sales team and qualify need,
KARA DAG TECHNOLOGIES,http://karadagtech.com/,Ukraine,LEWES,https://www.linkedin.com/company/karadagtech,Intelligence / ISR,Distributeur,64.0,B,New,Engines / propulsion,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed KARA DAG TECHNOLOGIES builds Vehicles, UAV / drones (+7) for Intelligence / ISR.",Review website and validate opportunity,
Kärcher Futuretech GmbH,http://www.karcher-futuretech.com/,Allemagne,SCHWAIKHEIM,https://www.linkedin.com/company/kaercher-futuretech,Armored vehicles,Distributeur,65.5,B,New,Mechanical parts,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Hi — I noticed Kärcher Futuretech GmbH builds Logistics equipment, NRBC / CBRN (+2) for Armored vehicles.",Review website and validate opportunity,
KARDEX,https://www.kardex.com/fr,France,FONTENAY SOUS BOIS,https://www.linkedin.com/company/kardex/,Soldier systems,Distributeur,77.6,A,New,Cloud / data services,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed KARDEX builds Software / Platforms, Robotics / UGV (+1) for Soldier systems.",Contact sales team and qualify need,
KARMETAL SAVUNMA MUH. SIL. TEK. SAN. DIS TIC. A.S.,https://www.karmetal.net.tr/,Turquie,ISTANBUL,https://www.linkedin.com/company/karmetal/,C4ISR,OEM,73.0,B,New,Cloud / data services,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Robotics / UGV.",Hi — KARMETAL SAVUNMA MUH.,Review website and validate opportunity,
Karrimor SF,https://karrimorsf.com/,Royaume-Uni,Exeter,,Homeland security,À vérifier,27.1,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Karrimor SF at Eurosatory.,No immediate action,
KEARFOTT CORPORATION,https://www.kearfott.com/,États-Unis,PINE BROOK,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Kemppi,https://www.kemppi.com/,Finlande,LAHTI,https://www.linkedin.com/company/kemppi-oy,C4ISR,OEM,82.0,A,New,Engines / propulsion,"Composants, sous-systèmes, software, services pour primes C4ISR.","Hi — I noticed Kemppi builds Vehicles, UAV / drones (+13) for C4ISR.",Contact sales team and qualify need,
Kennametal,https://www.kennametal.com/,États-Unis,PITTSBURGH,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
KENNO TECH,,Finlande,RIIHIMÄKI,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"KEPAR ELECTRÓNICA, S.L.",http://www.kepar.es/,Espagne,La Puebla de Alfindén - Zaragoza,https://www.linkedin.com/company/kepar-electronica/?originalSubdomain=es,Space / satellite,OEM,56.5,C,New,Cloud / data services,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed KEPAR ELECTRÓNICA, S.L.",Keep in watchlist,
