exhibitor_id,company_name,country,website,pavilion,activity_1liner,supply_chain_tier,products,products_categories,services,services_categories,target_buyers,technologies,technologies_categories,why_target,completeness_score,data_source_strength
1380,MIKRO-PULSSI,Finland,http://www.mikro-pulssi.fi/,,"Conçoit et fabrique des véhicules militaires, véhicules tactiques, ensembles spéciaux pour véhicules militaires.",OEM,véhicules militaires · véhicules tactiques · ensembles spéciaux pour véhicules militaires · moteurs militaires · ensembles de propulsion · groupes électrogènes mobiles · moteurs / propulsion,Véhicules tactiques (non blindés) · Véhicules blindés · Groupes électrogènes & énergie tactique · Moteurs aéronautiques,,,MoD / Armées,véhicules tout-terrain · moteurs aéronautiques,Autre — à qualifier,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,medium
1381,Milda Technologies,Latvia,http://milda.tech/,,"A cutting-edge, electric-powered unmanned land vehicle, designed for autonomous transportation of cargo and specialized equipment.",OEM,,Robots terrestres (UGV / EOD),,,Sécurité civile,robotique / autonomie,Robotique & autonomie,Cible commerciale sur le segment sécurité civile — à qualifier sur portefeuille produit / services.,80,medium
1382,MilDef,Sweden,http://www.mildef.com/,,"Conçoit et fabrique des véhicules militaires, systèmes optroniques, logiciels métier défense pour armées et forces de sécurité.",OEM,véhicules militaires · systèmes optroniques · logiciels métier défense · robots terrestres (UGV) · réseaux de communication,Véhicules tactiques (non blindés) · Optronique & viseurs (EO/IR) · Logiciels métier défense (autres) · Robots terrestres (UGV / EOD) · Réseaux militaires (5G/P-LTE/MANET),intégration de systèmes,Intégration de systèmes,"MoD / Armées, Primes défense, Sécurité civile, Export / international",robotique / autonomie · cybersécurité · cryptographie · 5G / sans-fil,Robotique & autonomie · Cybersécurité · Cryptographie · 5G / réseaux radio mobiles,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
1383,MILDEF INTERNATIONAL TECHNOLOGIES SDN BHD,Malaysia,http://mildef.com.my/,,Conçoit et fabrique des véhicules blindés tactiques pour les armées et la sécurité.,OEM,véhicules blindés · kits de surblindage · tourelles téléopérées,Véhicules blindés · Tourelles téléopérées (RWS),MCO / MRO · certification / tests · intégration de systèmes,MCO / MRO · Certification & tests · Intégration de systèmes,"MoD / Armées, Primes défense, Export / international, Sécurité civile",blindage modulaire · véhicules tout-terrain,Autre — à qualifier,"Compétiteur direct sur véhicules blindés — acheteur stratégique de motorisation, optronique, électronique embarquée et capteurs.",100,high
1384,Milestone Aviation Services,Saudi Arabia,,,"Fournit des services de location, MCO et formation aviation pour les forces armées saoudiennes et leurs alliés.",MRO,,Pièces mécaniques & usinage,MCO d'aéronefs militaires · formation pilotes · location d'aéronefs,MCO / MRO · Formation & entraînement,"MoD / Armées, Export / international",,,Prestataire MCO aviation au Moyen-Orient — partenaire pour primes vendant aéronefs en région du Golfe.,50,manual
1385,Military Defense Package / Military Box/ Container,China,https://www.ammodefensepackaging.com/,,Conçoit et fabrique des munitions et matériels énergétiques pour les armées.,Tier 1,générateurs portables · groupes électrogènes mobiles · kits énergie tactique · batteries haute densité,Groupes électrogènes & énergie tactique · Batteries & packs énergétiques,certification / tests,Certification & tests,"MoD / Armées, Primes défense, Sécurité civile, Export / international",énergie portative · électronique de puissance,Autre — à qualifier,"Acheteur potentiel de batteries Li-ion militaires, modules de gestion d'énergie embarqués et composants de génération électrique.",100,medium
1386,MILITARY EQUIPMENT DENMARK,Denmark,http://www.med.dk/,,Représente et distribue des équipements de défense étrangers auprès des forces armées nordiques et baltes.,N/A,,Distribution composants & représentation de marques,représentation de marques défense · conseil en accès au marché Nordique-Balte · support aux processus d'acquisition · coopération industrielle,Distribution & représentation · Ingénierie & conseil · Achat public & marchés défense,"MoD / Armées, Primes défense, Export / international",,,"Canal de distribution et agent commercial Nordique-Balte — partenaire utile pour primes étrangers cherchant à pénétrer le Danemark, la Suède, la Finlande, la Norvège et les Pays Baltes.",65,manual
1387,Millog Oy,Finland,http://millog.fi/en/,,"Fournit des prestations de MCO et modernisation pour les flottes militaires finlandaises (terrestre, naval, aérien).",MRO,,Pièces mécaniques & usinage,MCO terrestre / aérien / naval · modernisation flottes · support opérationnel,MCO / MRO · Modernisation de flottes · Support opérationnel & OPEX,MoD / Armées,,,MROiste finlandais (filiale Patria) — partenaire incontournable pour les forces armées finlandaises.,65,manual
1388,Milpower Savunma Sistemleri TİC.A.Ş,Turkey,https://www.milpower.com.tr/,,Conçoit et fabrique des solutions d'alimentation électrique durcies pour véhicules militaires turcs et électronique embarquée.,Tier 1,convertisseurs DC/DC durcis · alimentations militaires · modules d'énergie embarquée,Alimentations & convertisseurs durcis · Pièces mécaniques & usinage · Optronique & viseurs (EO/IR),intégration véhicule · qualification militaire,Intégration de systèmes · Certification & tests,"Primes défense, Industriels défense, Export / international",électronique de puissance,Autre — à qualifier,"Fournisseur turc d'électronique de puissance — partenaire pour primes turcs (Aselsan, Otokar, BMC).",100,manual
1389,Milrem Robotics,Estonia,http://www.milremrobotics.com/,,"The world-leading developer of robotics and autonomous systems, as well as a systems integrator.",Tier 1,plateforme cybersécurité OT · outils d'audit ICS / SCADA,Cybersécurité (logiciels & appliances) · Pièces mécaniques & usinage,intégration de systèmes,Intégration de systèmes,"Sécurité civile, MoD / Armées, Industriels défense, Primes défense",cybersécurité OT / ICS,Cybersécurité OT / ICS,Niche cybersécurité industrielle — partenaire pour la protection d'infrastructures critiques et bases militaires.,80,high
1390,MILTECH HELLAS,Greece,https://miltech.gr/,,"Distribue des drones aériens, capteurs embarqués, systèmes optroniques pour armées et forces de sécurité.",OEM,drones aériens · capteurs embarqués · systèmes optroniques · logiciels métier défense · composants électroniques,Drones aériens (UAV) · Capteurs embarqués (généraux) · Optronique & viseurs (EO/IR) · Logiciels métier défense (autres) · Composants électroniques & cartes,intégration de systèmes,Intégration de systèmes,"MoD / Armées, Primes défense, Sécurité civile",RF / micro-ondes · imagerie thermique · Lidar / Laser · matériaux composites · IA / vision,Communications RF / micro-ondes · Imagerie infrarouge · Lidar / Laser · Matériaux composites · IA / machine learning,Canal de distribution sur le marché mod / armées — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,100,high
1391,MILTON,France,http://www.milton-innovation.com/,,"Conçoit et fabrique des solutions d'innovation hardware (capteurs, modules) pour la défense et l'industrie françaises.",OEM,capteurs sur-mesure · modules hardware d'innovation,Drones aériens (UAV),bureau d'études électronique · prototypage rapide,Ingénierie & conseil,"Industriels défense, Primes défense",électronique embarquée,Autre — à qualifier,Niche française innovation hardware — partenaire pour primes cherchant des capteurs sur-mesure.,80,manual
1392,MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MER,France,http://www.interieur.gouv.fr/,,"Pilote l'achat public pour la sécurité intérieure française (police, gendarmerie, sécurité civile, douanes) — ~85 000 personnels d'État.",N/A,,"Représentation institutionnelle (cluster, fédération, chambre)",achat public sécurité intérieure · spécifications fonctionnelles · passation marchés,Achat public & marchés défense,Sécurité civile,,,"Acheteur public majeur pour les forces de sécurité françaises — porte d'entrée pour fournisseurs de véhicules, équipements individuels et systèmes.",65,manual
1393,Ministère des Armées et des Anciens combattants,France,http://www.defense.gouv.fr/,,Pilote la défense nationale et conduit les achats militaires publics.,Tier 1,achat public défense · politique industrielle militaire · passation de marchés publics défense · coopération inter-États défense,Achat public défense & politique industrielle · Systèmes C2 & C4ISR,,,"MoD / Armées, Export / international",,,Acheteur public défense — porte d'entrée pour fournisseurs cherchant à pénétrer le marché public militaire local.,85,high
1394,Ministère des armées et des anciens combattants - PEPS,France,http://www.defense.gouv.fr/,,Pilote la défense nationale et conduit les achats militaires publics.,N/A,achat public défense · politique industrielle militaire · passation de marchés publics défense · coopération inter-États défense,Achat public défense & politique industrielle,,,"MoD / Armées, Export / international",,,Acheteur public défense — porte d'entrée pour fournisseurs cherchant à pénétrer le marché public militaire local.,85,high
1395,MINISTRY OF DEFENCE,Cyprus,https://mod.gov.cy/,,Pilote la défense nationale de Chypre et conduit les achats militaires pour les forces armées chypriotes.,N/A,,Achat public défense & politique industrielle,Achat public & marchés défense,Achat public & marchés défense,MoD / Armées,,,"Acheteur public souverain pour la modernisation des forces armées chypriotes — opportunité export en Méditerranée orientale (véhicules, optronique, C4ISR, C-UAS).",50,manual
1396,Ministry of Defence of the Slovak Republic,Slovakia,https://www.mosr.sk/mo-sr-en/,,Pilote la politique de défense de la Slovaquie et conduit les achats d'équipements pour les forces armées slovaques.,N/A,,Achat public défense & politique industrielle,Achat public & marchés défense · Représentation institutionnelle (cluster/fédération),Achat public & marchés défense · Représentation institutionnelle (cluster/fédération),MoD / Armées,,,"Acheteur public souverain pour la modernisation des forces slovaques — opportunités sur véhicules blindés, défense sol-air, drones et munitions.",50,manual
1397,Ministry of Defence Republic of Croatia,Croatia,https://www.morh.hr/,,Pilote la défense nationale et conduit les achats militaires publics.,N/A,achat public défense · politique industrielle militaire · passation de marchés publics défense · coopération inter-États défense,Achat public défense & politique industrielle,,,"MoD / Armées, Export / international, Sécurité civile",,,Acheteur public défense — porte d'entrée pour fournisseurs cherchant à pénétrer le marché public militaire local.,85,medium
1398,"MINISTRY OF DEFENCE, GOVT. OF INDIA",India,http://www.drdo.gov.in/,,"Pilote la défense indienne et la R&D militaire (DRDO) — ~1,5 million de personnels armés et budget de 80 milliards USD.",Tier 3,,Pièces mécaniques & usinage,achat public défense · R&D DRDO · Make-in-India,Achat public & marchés défense · R&D sur contrat,"MoD / Armées, Export / international",,,Acheteur public majeur Make-in-India — partenaire stratégique pour les primes étrangers acceptant le transfert de technologie.,50,manual
1399,"Ministry of Economic Development, Job Creation and Trade, Ontario, Canada",Canada,http://www.sourcefromontario.com/en/page/event/137030/ontario-eurosatory-2024,,Pilote la défense nationale et conduit les achats militaires publics.,Tier 1,achat public défense · politique industrielle militaire · passation de marchés publics défense · coopération inter-États défense,Achat public défense & politique industrielle · Réseaux militaires (5G/P-LTE/MANET),MCO / MRO · ingénierie / conseil · distribution / représentation,MCO / MRO · Ingénierie & conseil · Distribution & représentation,"MoD / Armées, Export / international, Sécurité civile, Primes défense",,,Acheteur public défense — porte d'entrée pour fournisseurs cherchant à pénétrer le marché public militaire local.,85,high
1400,Ministry of Economy,Croatia,https://mingo.gov.hr/,,"Pilote la politique industrielle et énergétique croate, supervisant notamment l'industrie de défense nationale.",N/A,,"Représentation institutionnelle (cluster, fédération, chambre) · Achat public défense & politique industrielle","représentation institutionnelle · soutien export industriel · délivrance de licences (armes, énergie, mines)",Représentation institutionnelle (cluster/fédération) · Achat public & marchés défense,"Industriels défense, Export / international, MoD / Armées",,,"Porte d'entrée institutionnelle vers le tissu industriel défense croate (HS Produkt, Šestan-Busch, DOK-ING) — utile pour partenariats export et accès aux marchés publics croates.",65,manual
1401,Ministry of Industry and Mineral Resources,Saudi Arabia,,,Pilote la stratégie industrielle saoudienne (Vision 2030) y compris la souveraineté défense locale.,Tier 1,,Logiciels métier défense (autres),politique industrielle · facilitation des investissements défense,Autre — à qualifier,"Industriels défense, Export / international",,,Porte d'entrée institutionnelle pour s'implanter localement en Arabie Saoudite (programme SAMI / Vision 2030).,50,manual
1402,MINISTRY OF INDUSTRY AND TRADE OF THE CZECH REP.,Czech Republic,https://mpo.gov.cz/en/,,"Pilote la politique industrielle et commerciale tchèque, incluant l'industrie de défense et l'export d'armement.",N/A,,"Représentation institutionnelle (cluster, fédération, chambre) · Achat public défense & politique industrielle",représentation institutionnelle de l'industrie tchèque · promotion export défense · accompagnement pavillon national salons,Représentation institutionnelle (cluster/fédération) · Promotion territoriale & investissement · Achat public & marchés défense,"MoD / Armées, Industriels défense, Export / international",,,"Porte d'entrée institutionnelle vers l'écosystème défense tchèque (CSG, Tatra, EXPLOSIA, STV) — utile pour partenariats industriels et programmes de modernisation OTAN-Est.",65,manual
1403,Ministry of Investment of Saudi Arabia,Saudi Arabia,,,"Promeut l'investissement étranger en Arabie saoudite, notamment dans les secteurs défense et sécurité.",N/A,,"Représentation institutionnelle (cluster, fédération, chambre)",Promotion territoriale & investissement · Représentation institutionnelle (cluster/fédération),Promotion territoriale & investissement · Représentation institutionnelle (cluster/fédération),"Industriels défense, Primes défense, Export / international",,,"Porte d'entrée institutionnelle saoudienne (Vision 2030) pour industriels défense cherchant joint-ventures, localisation industrielle et accès au marché GCC.",50,manual
1404,MIPA,Germany,http://www.mipa-paints.com/,,"Conçoit et fabrique des logiciels métier défense, plateformes de gestion opérationnelle, modules d'analyse de données.",Tier 1,logiciels métier défense · plateformes de gestion opérationnelle · modules d'analyse de données · équipement logistique · modules de transport tactique · ensembles palettisés militaires,Logiciels métier défense (autres) · Logistique militaire & transport,,,,IA / vision,IA / machine learning,À qualifier — données publiques insuffisantes pour trancher.,75,medium
1405,Miranda Military,Poland,https://www.mirandamilitary.pl/,,"Conçoit et fabrique des radars de surveillance, modules de traitement signal radar, antennes radar pour armées.",OEM,radars de surveillance · modules de traitement signal radar · antennes radar · radars · équipement logistique · modules de transport tactique · ensembles palettisés militaires,Radars & traitement signal · Armes légères & accessoires · Antennes & infrastructures RF · Logistique militaire & transport,,,MoD / Armées,radar AESA · RF / micro-ondes,"Radar (AESA, monopulse, …) · Communications RF / micro-ondes",Compétiteur sur radars de surveillance — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
1406,MIRION TECHNOLOGIES,France,http://www.mirion.com/,,"Conçoit et fabrique des équipements de détection de rayonnements ionisants (NRBC, dosimétrie) pour militaire et nucléaire.",OEM,dosimètres personnels Mirion · détecteurs portables NRBC · systèmes de surveillance radiologique · spectromètres gamma,"NRBC (masques, tenues, détecteurs) · Représentation institutionnelle (cluster, fédération, chambre)",étalonnage radiologique · formation NRBC,Formation & entraînement,"MoD / Armées, Sécurité civile, Industriels défense, Export / international",détection NRBC · dosimétrie,Filtration NRBC,Leader mondial de la détection radiologique — partenaire pour primes NRBC et programmes de protection contre menaces sales.,100,manual
1407,MIRMEX MOTOR,Belgium,http://www.mirmexmotor.com/,,An innovative industrial company specializing in high‑performance slotless BLDC micromotors for demanding defense systems.,Tier 1,,Optronique & viseurs (EO/IR) · Pièces mécaniques & usinage,ingénierie / conseil · intégration de systèmes,Ingénierie & conseil · Intégration de systèmes,Primes défense,robotique / autonomie,Robotique & autonomie,"Sous-traitant éligible pour les primes défense (mécanique, composants, ingénierie) — fournisseur potentiel pour pièces série courte certifiées EN9100/AQAP.",80,medium
1408,Mistral Group,USA,http://www.mistralinc.com/,,"Conçoit experience, business development, and close working relationships with end-users, system integrators, and tec…",OEM,,"Cybersécurité (logiciels & appliances) · Systèmes anti-drone (C-UAS) · Drones aériens (UAV) · Systèmes C2 & C4ISR · Conteneurs, malles, shelters",sous-traitance · certification / tests,Sous-traitance industrielle · Certification & tests,"MoD / Armées, Sécurité civile",robotique / autonomie · simulation,Robotique & autonomie · Navigation inertielle · Simulation & VR/AR,Prestataire potentiel de sous-traitance pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
1409,Mitekas,Lithuania,http://mitekas.com/,,"A leading Lithuanian defense technology company (NCAGE 025AR), engineering high-performance hardware and software for modern law enforcem…",OEM,,Systèmes anti-drone (C-UAS) · Drones aériens (UAV),intégration de systèmes,Intégration de systèmes,"MoD / Armées, Sécurité civile",cloud · robotique / autonomie · big data / analyse · RF / micro-ondes,Cloud & cloud souverain · Robotique & autonomie · Big data & analytics · Communications RF / micro-ondes,Prestataire potentiel de intégration de systèmes pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
1410,Mittler Report Verlag GmbH,Germany,http://www.mittler-report.de/,,"Édite les revues spécialisées défense allemandes (ESuT, Hardthöhenkurier, Defense Industries) — référence du secteur.",OEM,,Cybersécurité (logiciels & appliances) · Avions & hélicoptères militaires,publication défense · veille sectorielle · événementiel professionnel,Organisation de salons & événements,Industriels défense,,,Média défense de référence en Allemagne — vitrine pour visibilité auprès du Bundeswehr et primes allemands.,65,manual
1411,MKS Servo,Taiwan,https://www.mks-servo.com/,,"Conçoit et fabrique des drones aériens, moteurs / propulsion, capteurs embarqués.",OEM,drones aériens · moteurs / propulsion · capteurs embarqués,Drones aériens (UAV) · Moteurs aéronautiques · Capteurs embarqués (généraux),,,"MoD / Armées, Export / international",vol autonome · RF / micro-ondes · moteurs aéronautiques · capteurs IoT industriels,Robotique & autonomie · Vol autonome & GPS-denied · Communications RF / micro-ondes · Capteurs IoT industriels,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,medium
1412,MKU LIMITED,India,https://www.mku.com/,,"Conçoit et fabrique des véhicules militaires, capteurs embarqués, systèmes optroniques pour armées et forces de sécurité.",OEM,véhicules militaires · capteurs embarqués · systèmes optroniques · équipement du fantassin · protection balistique,Véhicules tactiques (non blindés) · Capteurs embarqués (généraux) · Optronique & viseurs (EO/IR) · Équipement du fantassin (général) · Gilets & plaques pare-balles,MCO / MRO,MCO / MRO,"MoD / Armées, Sécurité civile, Primes défense, Export / international",imagerie thermique · matériaux composites,Imagerie infrarouge · Matériaux composites,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
1413,MNC SOLUTION,South-Korea,http://www.mncsolution.com/,,"Conçoit et fabrique des véhicules militaires, réseaux de communication, systèmes navals pour primes défense.",OEM,véhicules militaires · réseaux de communication · systèmes navals · radars · moteurs / propulsion,Véhicules tactiques (non blindés) · Réseaux militaires (5G/P-LTE/MANET) · Navires & sous-systèmes navals · Radars & traitement signal · Moteurs aéronautiques,,,Primes défense,RF / micro-ondes,Communications RF / micro-ondes,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
1414,MODIRUM GESPI - Industria E Comercio De Equipamentos,Brazil,https://modirumgespi.com/,,"Modirum | GESPI delivers mission-critical technology for defence, aerospace, and secure sectors worldwide.",Tier 1,,Systèmes C2 & C4ISR,certification / tests · MCO / MRO · intégration de systèmes,Certification & tests · MCO / MRO · Intégration de systèmes,"Primes défense, Sécurité civile",IA / vision · robotique / autonomie · cloud · big data / analyse · RF / micro-ondes,IA / machine learning · Robotique & autonomie · Cloud & cloud souverain · Big data & analytics · Communications RF / micro-ondes,Canal de distribution sur le marché primes défense — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,80,high
1415,MODISPREM,Spain,http://www.modisprem.com/,,"In technical foam solutions, including protective and returnable packaging, presentation packaging (transport stands), buoyancy and wat.",Tier 1,,Optronique & viseurs (EO/IR),certification / tests,Certification & tests,,GNSS / GPS · Lidar / Laser,GNSS / navigation satellite · Lidar / Laser,Prestataire potentiel de certification / tests pour des programmes défense/sécurité — à qualifier en discovery call.,65,medium
1416,"MOHOC, INC.",USA,https://www.mohoc.com/,,Conçoit et fabrique des caméras tactiques montées sur casque ou arme pour les forces spéciales et la police.,OEM,caméras MOHOC pour casque tactique · caméras embarquées arme · modules POV haute résolution,Casques de combat · Caméras tactiques & POV,formation utilisateurs,Formation & entraînement,"MoD / Armées, Sécurité civile, Export / international",caméras tactiques durcies,Autre — à qualifier,Niche US sur caméras tactiques montées casque — partenaire pour intégrateurs soldat connecté.,85,manual
1417,"Molex, LLC.",USA,http://www.molex.com/,,"Conçoit et fabrique des connecteurs et solutions d'interconnexion durcis pour aérospatial militaire, naval et terrestre.",Tier 2,connecteurs Molex militaires · harnais aérospatiaux · connecteurs RF haute fiabilité,Connectique & câblage durcis,fourniture OEM · ingénierie d'application,Sous-traitance industrielle · Ingénierie & conseil,"Primes défense, Industriels défense, Export / international",connectique mil-grade,Autre — à qualifier,"Fournisseur mondial Tier-1 de connectique — concurrent direct ITT Cannon, Amphenol, TE Connectivity.",100,manual
1418,Molfar Intelligence,Ukraine,https://molfar.com/,,"Conseille sur des équipement logistique, modules de transport tactique, ensembles palettisés militaires pour primes défense.",Tier 1,équipement logistique · modules de transport tactique · ensembles palettisés militaires,Logistique militaire & transport · Cybersécurité (logiciels & appliances),,,Primes défense,cybersécurité,Cybersécurité,Compétiteur sur équipement logistique — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
1419,MOLPIR S.R.O.,Slovakia,https://www.molpir.com/,,"Conçoit et fabrique des équipement logistique, équipement NRBC, moteurs / propulsion pour armées.",OEM,équipement logistique · équipement NRBC · moteurs / propulsion,"Logistique militaire & transport · NRBC (masques, tenues, détecteurs) · Moteurs aéronautiques",,,MoD / Armées,Lidar / Laser · GNSS / GPS,Lidar / Laser · GNSS / navigation satellite,Compétiteur sur équipement logistique — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
1420,MOMENTUM TECHNOLOGIES (LIFEPODS),France,http://www.lifepods.tech/,,MOMENTUM TECHNOLOGIES is a French company specializing in the development and manufacture of technological solutions designed to protect…,Tier 1,,"Conteneurs, malles, shelters · Optronique & viseurs (EO/IR) · Logiciels de simulation & cyber range",ingénierie / conseil · certification / tests · distribution / représentation · intégration de systèmes,Ingénierie & conseil · Certification & tests · Distribution & représentation · Intégration de systèmes,Sécurité civile,GNSS / GPS · robotique / autonomie · matériaux composites,GNSS / navigation satellite · Robotique & autonomie · Matériaux composites,Prestataire potentiel de ingénierie / conseil pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,high
1421,MÖNCH PUBLISHING GROUP,Germany,https://www.monch.com/,,Édite des publications spécialisées défense et sécurité pour professionnels.,N/A,publication spécialisée défense / sécurité · couverture salons défense · newsletters professionnelles · études et rapports sectoriels,Médias & publications défense,,,"Industriels défense, MoD / Armées, Export / international",,,Média défense de référence — vitrine pour les industriels souhaitant gagner en visibilité auprès des armées et primes.,85,medium
1422,MONKILOWATT,France,http://www.monkilowatt.fr/,,Monkilowatt est le spécialiste de l’énergie photovoltaïque mobile.,OEM,batteries militaires · packs énergie pour drones · modules de gestion d'énergie · batteries / sources d'énergie,Batteries & packs énergétiques · Drones aériens (UAV) · Groupes électrogènes & énergie tactique,certification / tests,Certification & tests,MoD / Armées,énergie portative,Autre — à qualifier,Compétiteur sur batteries militaires — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
1423,MONOPULSE,Lithuania,,,Conçoit et fabrique des radars Doppler / monopulse pour défense aérienne et applications de tracking de cibles.,Tier 1,radars monopulse · modules de tracking radar,Radars & traitement signal,intégration sur plateforme · support RF,Intégration de systèmes,"MoD / Armées, Primes défense, Export / international",radar monopulse · RF / micro-ondes,"Radar (AESA, monopulse, …) · Communications RF / micro-ondes",Niche lituanienne sur radars de tracking — partenaire pour intégrateurs anti-drone.,65,manual
1424,MONT BLANC PRODUCTIONS,France,https://www.montblancproductions.fr/,,"Mont Blanc Productions fournit ainsi des solutions sur mesure innovantes à destination de l’industrie aéronautique, du nucléaire et du se…",OEM,pièces mécaniques · logiciels métier défense · équipement logistique · réseaux de communication · drones aériens,Pièces mécaniques & usinage · Logiciels métier défense (autres) · Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET) · Drones aériens (UAV),sous-traitance · certification / tests,Sous-traitance industrielle · Certification & tests,"Primes défense, MoD / Armées",cloud · IA / vision · RF / micro-ondes · 5G / sans-fil,Cloud & cloud souverain · IA / machine learning · Communications RF / micro-ondes · 5G / réseaux radio mobiles,"Sous-traitant éligible pour les primes défense (mécanique, composants, ingénierie) — fournisseur potentiel pour pièces série courte certifiées EN9100/AQAP.",100,high
1425,MONVALIS GMBH,Germany,http://www.monvalis.de/,,"Sous-traite la mécanique de précision (groupe Dreckshage) — pièces usinées, transmissions et structures pour la défense allemande.",Tier 3,pièces usinées de précision · ensembles mécaniques durcis,Pièces mécaniques & usinage,usinage · ingénierie d'application,Ingénierie & conseil,"Industriels défense, Primes défense",mécanique de précision,Autre — à qualifier,"Sous-traitant allemand mécanique — fournisseur potentiel pour Rheinmetall, KMW et primes véhicules.",80,manual
1426,MOOG INC.,USA,https://www.moog.com/,,"Conçoit et fabrique des armes, moteurs / propulsion, systèmes satellitaires pour primes et armées.",OEM,armes · moteurs / propulsion · systèmes satellitaires · capteurs embarqués · radars,Armes légères & accessoires · Moteurs aéronautiques · Satellites & CubeSats · Capteurs embarqués (généraux) · Radars & traitement signal,distribution / représentation · intégration de systèmes,Distribution & représentation · Intégration de systèmes,"Primes défense, MoD / Armées",simulation · cybersécurité,Navigation inertielle · Simulation & VR/AR · Cybersécurité,"Acheteur potentiel de mécanique de précision, optronique, matériaux énergétiques pour ses lignes armes — également compétiteur sur le segment armes.",100,high
1427,Moori Technologies,South-Korea,http://mooritech.com/,,"A South Korean electro-optics company specialising in 1.5 um solid-state and microchip lasers, rangefinders, and open-path FTIR spectro.",Tier 1,plateforme cybersécurité OT · outils d'audit ICS / SCADA,Cybersécurité (logiciels & appliances),,,"Sécurité civile, MoD / Armées, Industriels défense",cybersécurité OT / ICS,Cybersécurité OT / ICS,Niche cybersécurité industrielle — partenaire pour la protection d'infrastructures critiques et bases militaires.,80,medium
1428,MORAI GmbH,Germany,http://www.morai.ai/,,Édite des plateformes de jumeau numérique pour la simulation de systèmes autonomes.,OEM,,Logiciels de simulation & cyber range · Drones aériens (UAV) · Plateformes IA / vision défense,MCO / MRO · certification / tests · intégration de systèmes,MCO / MRO · Certification & tests · Intégration de systèmes,"Primes défense, Export / international",cloud · GNSS / GPS · Lidar / Laser · robotique / autonomie · simulation,Cloud & cloud souverain · GNSS / navigation satellite · Lidar / Laser · Robotique & autonomie · Navigation inertielle · Simulation & VR/AR,Canal de distribution sur le marché primes défense — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,80,medium
1429,MORIN - K9 VISION,France,https://www.morinfrance.com/,,"Animalerie en ligne : Morin France | Magasin d'articles pour animaux | Découvrez les produits Morin France, spécialiste des articles pour…",OEM,équipement du fantassin · munitions · batteries / sources d'énergie,Équipement du fantassin (général) · Munitions petit/moyen calibre · Batteries & packs énergétiques,ingénierie / conseil · formation · certification / tests,Ingénierie & conseil · Formation & entraînement · Certification & tests,"MoD / Armées, Sécurité civile",GNSS / GPS · matériaux composites,GNSS / navigation satellite · Matériaux composites,"Acheteur potentiel de optronique fantassin, énergie portative, textiles techniques pour ses lignes équipement fantassin — également compétiteur sur le segment équipement fantassin.",100,high
1430,"MOS nutrition, Emergency Food, MX3 nutrition",France,https://www.nutridry.com/,,"Accueil | NutriDry offre des solutions nutritionnelles prêtes à l'emploi, adaptées à tous les besoins.",OEM,équipement logistique · modules de transport tactique · ensembles palettisés militaires · batteries militaires · packs énergie pour drones · modules de gestion d'énergie · batteries / sources d'énergie,Logistique militaire & transport · Batteries & packs énergétiques · Drones aériens (UAV) · Groupes électrogènes & énergie tactique,formation,Formation & entraînement,"MoD / Armées, Sécurité civile",énergie portative,Autre — à qualifier,Compétiteur sur équipement logistique — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,high
1431,MostaTech,Malta,http://mostatech.mt/,,Conçoit et fabrique des centrales inertielles et systèmes de navigation pour défense.,OEM,centrales inertielles · AHRS pour drones · INS-D haute précision,Drones aériens (UAV) · Avionique & instruments embarqués,,,"Primes défense, Industriels défense, Export / international",navigation inertielle · MEMS gyroscopes,Navigation inertielle · MEMS & capteurs miniaturisés,"Compétiteur sur navigation inertielle (vs Honeywell, iXblue, Northrop) — fournisseur pour drones, missiles guidés et plateformes UGV.",100,high
